"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"6,000";"957,00"
"COMBINADO PRIME";"COMBINADOS";"6,000";"430,84"
"COMBINADO SUNRISE";"COMBINADOS";"3,000";"350,08"
"OPEN WINE";"VINHOS E ESPUMANTES";"4,000";"307,56"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"4,000";"278,79"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"MORANDE PIONERO RESERVA PINOT NOIR ";"TINTOS";"2,000";"253,00"
"USSUZUKURI TRUFADO";"TRUFADOS";"3,000";"203,70"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"4,000";"165,20"
"GIN TONICA ORIGINAL";"DRINKS";"4,000";"137,06"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"3,000";"115,17"
"FITZGERALD BOMBAY";"DRINKS";"3,000";"108,57"
"MORANDE VISIONARIO CHARDONNAY ";"BRANCOS";"1,000";"104,50"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"3,000";"97,48"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"9,000";"88,11"
"GIN TONICA MACA VERDE";"DRINKS";"4,000";"87,56"
"MANHANTTAN";"ESPECIAIS ";"2,000";"83,60"
"RISOTTO DE CAMARAO";"RISOTTI";"1,000";"83,60"
"SASHIMI SALMAO";"SASHIMI";"2,000";"83,59"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"3,000";"82,17"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"2,000";"79,20"
"GIN TONICA MORANGO";"DRINKS";"2,000";"76,78"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,80"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"7,000";"73,08"
"SPAGHETTI ALLE VOGNOLE";"PASTE";"1,000";"72,60"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"70,40"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"3,000";"65,67"
"CERVEJA HEINEKEN";"CERVEJAS";"4,000";"65,56"
" MISTO";"VERDURAS E LEGUMES";"1,000";"64,90"
"FONDUTA DI FILETTO AL GORGONZOLA";"ENTRADAS ITA";"1,000";"61,60"
"CERVEJA SPATEN";"CERVEJAS";"4,000";"61,16"
"GIN TONICA TANGERINA";"DRINKS";"2,000";"60,28"
"HOT FUJI CROCK";"HOT";"2,000";"56,51"
"GENGIBRADA SMIRNOFF";"DRINKS";"2,000";"54,78"
"VINHO TINTO TAÇA ";"TACAS";"2,000";"53,68"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,69"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"6,000";"52,33"
"GAMBERI GRATINATE";"DEL MARE";"2,000";"51,33"
"MADAME";"DRINKS";"2,000";"43,78"
"EBI RUBRA";"ESPECIAIS ";"1,000";"41,80"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"SODA ITALIANA";"BEBIDAS GELADAS";"2,000";"39,38"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,99"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,39"
"VINHO BRANCO TAÇA";"TACAS";"3,000";"36,96"
"OLD FASHIONED";"DRINKS";"1,000";"36,19"
"SALADA SUNOMONO";"FRUTAS";"1,000";"34,36"
"GYOZA BOVINA";"FRUTAS";"1,000";"32,89"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"GIN BOMBAY DOSE";"DESTILADOS";"1,000";"25,19"
"ROCK CHICKEN";"FRUTAS";"1,000";"25,19"
"MOSCOW MULE SMIRNOFF";"DRINKS";"1,000";"21,89"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"3,000";"21,35"
"COCA COLA LATA";"BEBIDAS GELADAS";"2,000";"20,79"
"COCONUT SHRIMP";"FRUTAS";"1,000";"20,79"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"MISSOSHIRO";"FRUTAS";"1,000";"19,80"
"CAIPIRINHA YPIOCA";"DRINKS";"1,000";"17,60"
"NIGUIRI SKIN CROCK";"NIGUIRI";"1,000";"16,39"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"15,65"
"COMBINADO SUNSET";"COMBINADOS";"1,000";"15,12"
"BOSSA BRAMBLE";"DRINKS";"2,000";"15,08"
"TIRAMISSU";"SOBREMESA ITA";"1,000";"11,80"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"10,63"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"3,000";"0,00"
"RETIRAR";"SUCOS E AGUA DE COCO";"1,000";"0,00"
