"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"13,000";"2070,42"
"COMBINADO PRIME";"COMBINADOS";"8,000";"653,32"
"COMBINADO MIX";"COMBINADOS";"2,000";"528,00"
"STEAK  TARTUFO";"LA CARNE";"4,000";"435,60"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"433,88"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"6,000";"421,61"
"CARBONARA ";"PASTE";"6,000";"380,56"
"FITZGERALD BOMBAY";"DRINKS";"11,000";"353,52"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"24,000";"328,32"
"CERVEJA HEINEKEN";"CERVEJAS";"17,000";"278,41"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"10,000";"267,59"
"GENGIBRADA SMIRNOFF";"DRINKS";"11,000";"254,67"
"USSUZUKURI TRUFADO";"TRUFADOS";"3,000";"246,26"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"240,47"
"APEROL SPRITS";"DRINKS";"6,000";"217,14"
"MORANDE VISIONARIO CHARDONNAY ";"BRANCOS";"2,000";"208,17"
"MOSCOW MULE SMIRNOFF";"DRINKS";"6,000";"188,30"
"SALMON SANDWICH";"ESPECIAIS ";"4,000";"184,22"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"FILE  GORGONZOLA";"COZINHA FUJI";"2,000";"173,80"
"STEAK AO POIVRE";"VERDURAS E LEGUMES";"2,000";"173,56"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"4,000";"167,20"
"CABRIZ COLHEITA TINTO";"TINTOS";"1,000";"163,44"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"18,000";"162,83"
"LIMONCELLO SPRITZ";"DRINKS";"4,000";"153,26"
"CERVEJA SPATEN";"CERVEJAS";"10,000";"152,90"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"143,00"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"13,000";"141,76"
"COCONUT SHRIMP";"FRUTAS";"3,000";"131,67"
"FILETTO AL PEPPE VERDE";"LA CARNE";"2,000";"126,96"
"LASANHA ALLA ITA";"PASTE";"2,000";"126,21"
"MORANDE PIONERO RESERVA PINOT NOIR ";"TINTOS";"1,000";"126,15"
"EBI RUBRA";"ESPECIAIS ";"3,000";"125,15"
"MANHANTTAN";"ESPECIAIS ";"3,000";"125,12"
"CEVICHE FRUTOS DO MAR";"ENTRADAS SUSHI";"2,000";"120,78"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"3,000";"115,50"
"BOSSA BRAMBLE";"DRINKS";"4,000";"113,49"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"6,000";"111,06"
"VINHO TINTO TAÇA ";"TACAS";"4,000";"107,36"
"BATERA SHAKE TORO";"ESPECIAIS ";"2,000";"105,60"
"MORANDE VISIONARIO CARMENERE";"TINTOS";"1,000";"103,67"
"POLVO CONFIT";"DEL MARE";"1,000";"97,90"
"VINHO BRANCO TAÇA";"TACAS";"3,000";"95,12"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"2,000";"94,38"
"FILETTO ALLA ITA";"LA CARNE";"1,000";"94,04"
"COCA COLA LATA";"BEBIDAS GELADAS";"9,000";"90,85"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"87,89"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"9,000";"87,87"
"COMBINADO SUNSET";"COMBINADOS";"2,000";"87,78"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"1,000";"86,79"
"BRUSQUETA PARMA,BRIE & MELE AL TARTUFO";"ENTRADAS ITA";"2,000";"85,80"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,12"
"RISOTTO DE CAMARAO";"RISOTTI";"1,000";"83,60"
"FILÉ A  PARMEGIANA";"LA CARNE";"1,000";"81,40"
