"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"11,000";"852,32"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"432,79"
"COMBINADO SUNSET";"COMBINADOS";"7,000";"306,93"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"3,000";"259,05"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"16,000";"225,22"
"MOSCOW MULE SMIRNOFF";"DRINKS";"7,000";"209,61"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"161,30"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"160,69"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"158,11"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"2,000";"149,60"
"LASANHA ALLA ITA";"PASTE";"2,000";"127,60"
"MANHANTTAN";"ESPECIAIS ";"3,000";"124,61"
"DYO SHAKÊ IKURA 2UND";"SUSHI DESIGN";"2,000";"118,80"
"VINHO BRANCO TAÇA";"TACAS";"4,000";"116,44"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"4,000";"109,19"
"FITZGERALD BOMBAY";"DRINKS";"5,000";"109,15"
"ESPORÃO PE BRANCO ";"BRANCOS";"1,000";"108,90"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"11,000";"105,86"
"COCONUT SHRIMP";"FRUTAS";"3,000";"98,67"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"3,000";"97,74"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"HOT FUJI CROCK";"HOT";"3,000";"85,80"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"83,60"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"2,000";"83,23"
"GAMBERI GRATINATE";"DEL MARE";"1,000";"80,66"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"75,90"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"6,000";"75,90"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"74,80"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"74,21"
"Y FILE";"VERDURAS E LEGUMES";"1,000";"69,84"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"7,000";"68,25"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"66,00"
"GIN TONICA TANGERINA";"DRINKS";"3,000";"65,67"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"5,000";"65,21"
"CARBONARA ";"PASTE";"1,000";"63,80"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,18"
"ROCK SHIRIMP";"FRUTAS";"1,000";"52,80"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,20"
"DYO VIEIRAS TRUFADAS 2UND";"TRUFADOS";"1,000";"50,60"
"GYOZA BOVINA";"FRUTAS";"2,000";"50,20"
"IL VERO CARPACCIO";"ENTRADAS ITA";"1,000";"48,88"
"BLACK LABEL DOSE";"DESTILADOS";"2,000";"48,40"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"1,000";"48,25"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"1,000";"46,72"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"45,74"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"44,00"
"GENGIBRADA SMIRNOFF";"DRINKS";"2,000";"43,78"
"MADAME";"DRINKS";"2,000";"43,63"
"BOSSA BRAMBLE";"DRINKS";"2,000";"43,48"
"SASHIMI SALMAO";"SASHIMI";"1,000";"42,79"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,38"
"EBI RUBRA";"ESPECIAIS ";"1,000";"41,38"
"DYO UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"40,70"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"2,000";"37,18"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"2,000";"37,07"
"MARGUERITA";"DRINKS";"1,000";"36,19"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"33,00"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"32,48"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"25,19"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"25,19"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,16"
"ROCK CHICKEN";"FRUTAS";"1,000";"25,02"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"2,000";"22,00"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"1,000";"21,89"
"SALMON  BALL";"FRUTAS";"1,000";"21,89"
"LITTLE BEE";"DRINKS";"1,000";"21,74"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"2,000";"19,58"
"AGUA DE COCO JARRA";"SUCOS E AGUA DE COCO";"1,000";"16,39"
"AGUA TONICA LATA";"BEBIDAS GELADAS";"1,000";"11,00"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"2,000";"11,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
