"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"6,000";"957,00"
"COMBINADO PRIME";"COMBINADOS";"8,000";"654,94"
"CERVEJA HEINEKEN";"CERVEJAS";"27,000";"442,53"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"3,000";"260,37"
"COMBINADO SUNSET";"COMBINADOS";"4,000";"184,86"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"VINHO BRANCO TAÇA";"TACAS";"7,000";"153,23"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"2,000";"149,60"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"15,000";"146,85"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"143,00"
"FITZGERALD BOMBAY";"DRINKS";"6,000";"131,34"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"12,000";"130,68"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"3,000";"125,40"
"MANHANTTAN";"ESPECIAIS ";"3,000";"125,40"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"CERVEJA SPATEN";"CERVEJAS";"7,000";"107,03"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"2,000";"105,38"
"CAMPARI";"DESTILADOS";"6,000";"99,00"
"COCONUT SHRIMP";"FRUTAS";"3,000";"98,67"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"86,90"
"VINHO TINTO TAÇA ";"TACAS";"3,000";"85,47"
"TIGRADO";"ESPECIAIS ";"2,000";"83,60"
"TABUA DI BURRATA";"ENTRADAS ITA";"1,000";"83,60"
"GAMBERI GRATINATE";"DEL MARE";"1,000";"81,40"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"1,000";"79,89"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"2,000";"76,80"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"76,78"
"TIRAMISSU";"SOBREMESA ITA";"2,000";"74,80"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,80"
"FUNDUTA DE FILETTO  AL TARTUFO";"ENTRADAS ITA";"1,000";"73,70"
"Y FILE";"VERDURAS E LEGUMES";"1,000";"70,40"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"7,000";"68,53"
"MADAME";"DRINKS";"3,000";"65,67"
"CARBONARA ";"PASTE";"1,000";"63,80"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,60"
"FONDUTA DI FILETTO AL GORGONZOLA";"ENTRADAS ITA";"1,000";"61,60"
"SASHIMI BARRIGA DE SALMAO TRUFADO 5UND";"TRUFADOS";"1,000";"61,60"
"GIN TONICA ORIGINAL";"DRINKS";"2,000";"60,28"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"3,000";"55,77"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"54,80"
"NIGUIRI VIEIRA TRUFADA • DUPLA";"TRUFADOS";"1,000";"52,80"
"GYOZA IFOOD";"FRUTAS";"2,000";"52,15"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"2,000";"47,08"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"BRUSQUETA PARMA,BRIE & MELE AL TARTUFO";"ENTRADAS ITA";"1,000";"42,90"
"LOVE LYCHEE";"DRINKS";"1,000";"38,39"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,39"
"ROCK CHICKEN IFOOD";"FRUTAS";"1,000";"36,73"
"COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"GYOZA BOVINA";"FRUTAS";"1,000";"25,19"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"1,000";"21,89"
"BOSSA BRAMBLE";"DRINKS";"1,000";"21,89"
"SALMON  BALL";"FRUTAS";"1,000";"21,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"2,000";"21,78"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"3,000";"16,50"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"TORRADA PORCAO ";"FRUTAS";"1,000";"5,50"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"1,000";"0,00"
