"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"13,000";"1079,13"
"COMBINADO SUNSET";"COMBINADOS";"12,000";"571,89"
"COMBINADO MIX";"COMBINADOS";"2,000";"545,73"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"29,000";"406,79"
"COMBINADO SUNRISE";"COMBINADOS";"3,000";"377,42"
"CARBONARA ";"PASTE";"5,000";"316,71"
"COCONUT SHRIMP";"FRUTAS";"7,000";"295,86"
"USSUZUKURI TRUFADO";"TRUFADOS";"4,000";"283,55"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"4,000";"279,62"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"216,10"
"SASHIMI SALMAO";"SASHIMI";"5,000";"213,71"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"2,000";"195,58"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"3,000";"181,15"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"178,89"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"162,45"
"FITZGERALD BOMBAY";"DRINKS";"7,000";"152,40"
"BLUE CHEESE BURGER";"FRUTAS";"4,000";"151,46"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"2,000";"141,16"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"127,28"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"12,000";"117,08"
"MOSCOW MULE SMIRNOFF";"DRINKS";"4,000";"115,61"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"112,69"
"ESPORÃO PE BRANCO ";"BRANCOS";"1,000";"107,89"
"SALMON  BALL";"FRUTAS";"4,000";"105,57"
"IL VERO CARPACCIO";"ENTRADAS ITA";"2,000";"97,39"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"9,000";"95,92"
"FILETTO ALLA ITA";"LA CARNE";"1,000";"94,60"
"CERVEJA SPATEN";"CERVEJAS";"6,000";"91,74"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"4,000";"87,56"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"MOSCOW MULE BOMBAY";"DRINKS";"2,000";"80,34"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"77,00"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"75,46"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"74,93"
