"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"5,000";"797,50"
"COMBINADO PRIME";"COMBINADOS";"6,000";"465,25"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"6,000";"257,40"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"230,99"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"EMILIANA ADOBE CHARDONNAY ";"BRANCOS";"1,000";"176,00"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"173,80"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"14,000";"151,47"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"2,000";"149,60"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"4,000";"144,99"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"128,69"
"CARBONARA ";"PASTE";"2,000";"127,60"
"PONTO NERO LIVE DREAM";"BORBULHAS";"1,000";"108,90"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"3,000";"97,68"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"87,89"
"FILÉ A  PARMEGIANA";"LA CARNE";"1,000";"81,40"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"68,00"
" MISTO";"VERDURAS E LEGUMES";"1,000";"59,00"
"LASANHA ALLA ITA";"PASTE";"1,000";"58,00"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"54,78"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"52,80"
"ROCK SHIRIMP";"FRUTAS";"1,000";"52,80"
"FITZGERALD BOMBAY";"DRINKS";"2,000";"43,78"
"SASHIMI SALMAO";"SASHIMI";"1,000";"42,79"
"COMBINADO SUNSET";"COMBINADOS";"1,000";"42,79"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"1,000";"42,38"
"MANHANTTAN";"ESPECIAIS ";"1,000";"41,80"
"MISSOSHIRO";"FRUTAS";"2,000";"39,60"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"3,000";"39,27"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"4,000";"39,16"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"GIN TONICA MORANGO";"DRINKS";"1,000";"38,39"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,39"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"1,000";"38,39"
"PAVLOVA";"SOBREMESA ITA";"1,000";"37,40"
"NEGRONI";"DRINKS";"1,000";"36,19"
"COCONUT SHRIMP";"FRUTAS";"1,000";"32,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"TORTA DI NOCCIOLE";"SOBREMESA ITA";"1,000";"31,90"
"HOT SUCRILHOS";"HOT";"1,000";"31,79"
"VINHO BRANCO TAÇA";"TACAS";"1,000";"31,79"
"SEX ON THE BEACH";"DRINKS";"1,000";"29,70"
"GYOZA BOVINA";"FRUTAS";"1,000";"25,19"
"ROCK CHICKEN";"FRUTAS";"1,000";"25,19"
"MOSCOW MULE SMIRNOFF";"DRINKS";"1,000";"21,89"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"2,000";"21,78"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"20,79"
"CAMPARI TÔNICA";"DRINKS";"1,000";"19,69"
"CAFE NESPRESSO";"CAFES";"2,000";"19,58"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"COUVE CROCK EXTRA";"ENTRADAS SUSHI";"2,000";"15,29"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"1,000";"15,29"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"11,00"
"SPRITE LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"1,000";"8,90"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
