"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"13,000";"1926,43"
"COMBINADO SUNSHINE";"COMBINADOS";"5,000";"907,50"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"435,60"
"FITZGERALD BOMBAY";"DRINKS";"13,000";"367,99"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"2,000";"319,00"
"COMBINADO MIX";"COMBINADOS";"1,000";"230,99"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"3,000";"224,40"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"6,000";"222,46"
"ROCK CHICKEN";"FRUTAS";"4,000";"167,20"
"GIN TONICA MACA VERDE";"DRINKS";"4,000";"153,56"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"15,000";"146,85"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"143,00"
"CARBONARA ";"PASTE";"2,000";"127,60"
"FONDUTA DI FILETTO AL GORGONZOLA";"ENTRADAS ITA";"2,000";"123,20"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"118,49"
"CAMPARI";"DESTILADOS";"7,000";"115,50"
"DYO VIEIRAS TRUFADAS 2UND";"TRUFADOS";"2,000";"106,42"
"COSECHA TARAPACA MERLOT";"TINTOS";"1,000";"99,00"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"97,09"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"10,000";"91,98"
"COMBINADO SUNSET";"COMBINADOS";"2,000";"87,78"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"1,000";"86,79"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"78,99"
"SODA ITALIANA";"BEBIDAS GELADAS";"4,000";"78,76"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"77,00"
"COMBINADO PRIME";"COMBINADOS";"1,000";"75,79"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"71,50"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"70,40"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"7,000";"68,53"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"5,000";"65,45"
"LASANHA ALLA ITA";"PASTE";"1,000";"63,80"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"63,58"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"3,000";"62,47"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"2,000";"43,78"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"1,000";"42,90"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SALMAO";"SASHIMI";"1,000";"41,92"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"41,80"
"EBISHIN";"FRUTAS";"1,000";"41,80"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"1,000";"39,60"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,39"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"2,000";"37,18"
"BATATA FRITA ";"FRUTAS";"1,000";"32,89"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"32,89"
"GYOZA BOVINA";"FRUTAS";"1,000";"32,89"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"29,59"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"SALMON  BALL";"FRUTAS";"1,000";"21,89"
"MADAME";"DRINKS";"1,000";"21,89"
"VINHO TINTO TAÇA ";"TACAS";"1,000";"21,89"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"19,86"
"MOSCOW MULE SMIRNOFF";"DRINKS";"1,000";"19,51"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"18,26"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"2,000";"10,92"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,50"
"CAFE NESPRESSO";"CAFES";"1,000";"5,28"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"RETIRAR";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"5,000";"0,00"
