"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"9,000";"1435,50"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"639,49"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"363,00"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"COMBINADO PRIME";"COMBINADOS";"3,000";"237,60"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"3,000";"224,40"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"18,000";"196,19"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"178,79"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"5,000";"165,00"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"159,50"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"151,80"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"2,000";"149,60"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"2,000";"140,80"
"VINHO TINTO TAÇA ";"TACAS";"5,000";"139,15"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"2,000";"131,89"
"COMBINADO SUNSET";"COMBINADOS";"3,000";"124,87"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"3,000";"115,50"
"GYOZA BOVINA";"FRUTAS";"4,000";"100,76"
"BATERA SHAKE TORO";"ESPECIAIS ";"2,000";"99,25"
"AVELEDA FONTE VINHO ROSE";"BRANCOS";"1,000";"88,00"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"3,000";"84,48"
"GAMBERI GRATINATE";"DEL MARE";"1,000";"81,40"
"FITZGERALD BOMBAY";"DRINKS";"3,000";"79,97"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"8,000";"78,32"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"3,000";"67,08"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"66,00"
"CAIPIROSKA SMIRNOFF";"DRINKS";"2,000";"65,78"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,60"
"GYOZA IFOOD";"FRUTAS";"2,000";"60,51"
"CERVEJA HEINEKEN";"CERVEJAS";"4,000";"59,40"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,69"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"4,000";"52,36"
"HOT FUJI CROCK";"HOT";"2,000";"51,02"
"SALMON  BALL";"FRUTAS";"2,000";"50,38"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"5,000";"48,95"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SHAKÊ TORÔ TRUFADO 2 UND";"TRUFADOS";"1,000";"42,79"
"PIRULITO DE SALMAO";"ESPECIAIS ";"1,000";"41,80"
"DYO UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"40,70"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"2,000";"39,75"
"SAKEROSKA";"DRINKS";"1,000";"39,60"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,99"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"36,20"
"MANHANTTAN";"ESPECIAIS ";"1,000";"36,20"
"APPLE COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"COCONUT SHRIMP";"FRUTAS";"1,000";"32,89"
"TORTA DI NOCCIOLE";"SOBREMESA ITA";"1,000";"31,90"
"KIR ROYAL";"DRINKS";"1,000";"30,80"
"AZEDINHO CACHACA";"DRINKS";"1,000";"29,59"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"CAFE NESPRESSO";"CAFES";"3,000";"29,37"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"25,28"
"VINHO BRANCO TAÇA";"TACAS";"1,000";"21,89"
"BOSSA BRAMBLE";"DRINKS";"1,000";"21,89"
"TEQUILA JOSE CUERVO";"DESTILADOS";"1,000";"21,89"
"LITTLE BEE";"DRINKS";"1,000";"21,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"2,000";"21,78"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"20,79"
"FANTA LARANJA LATA 350ML";"BEBIDAS GELADAS";"2,000";"19,58"
"CAIPIRINHA YPIOCA";"DRINKS";"1,000";"17,60"
"AGUA DE COCO JARRA";"SUCOS E AGUA DE COCO";"1,000";"16,39"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"2,000";"0,00"
