"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"16,000";"2075,47"
"COMBINADO PRIME";"COMBINADOS";"10,000";"770,96"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"653,40"
"COMBINADO MIX";"COMBINADOS";"2,000";"528,00"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"7,000";"287,63"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"6,000";"249,60"
"COMBINADO SUNSET";"COMBINADOS";"5,000";"206,45"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"21,000";"204,84"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"4,000";"159,60"
"SODA ITALIANA";"BEBIDAS GELADAS";"8,000";"155,73"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"3,000";"147,21"
"PENNE DE SALMAO AO LIMONE";"PASTE";"2,000";"134,00"
"SASHIMI SALMAO";"SASHIMI";"3,000";"121,42"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"16,000";"116,99"
"GIN TONICA ORIGINAL";"DRINKS";"3,000";"115,17"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"110,99"
"STEAK  TARTUFO";"LA CARNE";"1,000";"108,90"
"MORANDE VISIONARIO CARMENERE";"TINTOS";"1,000";"104,50"
"MANHANTTAN";"ESPECIAIS ";"4,000";"99,55"
"IL VERO CARPACCIO";"ENTRADAS ITA";"2,000";"97,76"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"FILETTO AL PEPPE VERDE";"LA CARNE";"1,000";"94,60"
"VINHO TINTO TAÇA ";"TACAS";"6,000";"92,56"
"HOT SALMAO C/CREAM CHEESE";"HOT";"4,000";"92,06"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"86,90"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"1,000";"86,79"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"LULA RECHEADA SHIMEJI";"FRUTAS";"1,000";"84,74"
"SALMON  BALL";"FRUTAS";"3,000";"84,58"
"TABUA DI BURRATA";"ENTRADAS ITA";"1,000";"83,60"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"83,60"
"GAMBERI GRATINATE";"DEL MARE";"1,000";"81,40"
"GYOZA BOVINA";"FRUTAS";"3,000";"80,98"
"MISSOSHIRO";"FRUTAS";"4,000";"79,20"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"9,000";"69,43"
"VINHO BRANCO TAÇA";"TACAS";"4,000";"64,75"
"LASANHA ALLA ITA";"PASTE";"1,000";"63,80"
"AZUMA KIRIN DOURADO DSE";"DESTILADOS";"2,000";"61,60"
