"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"11,000";"1754,50"
"COMBINADO MIX";"COMBINADOS";"2,000";"528,00"
"COMBINADO SUNSET";"COMBINADOS";"7,000";"310,43"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"4,000";"161,46"
"COMBINADO PRIME";"COMBINADOS";"2,000";"139,45"
"Y FRANGO";"VERDURAS E LEGUMES";"2,000";"129,80"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"127,42"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"126,50"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"4,000";"125,07"
"SASHIMI SALMAO";"SASHIMI";"3,000";"119,97"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"8,000";"104,72"
"NIGUIRI SHAKÊ TORÔ TRUFADO • 2UND.";"TRUFADOS";"2,000";"96,72"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"86,90"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"EBI RUBRA";"ESPECIAIS ";"2,000";"83,60"
"MANHANTTAN";"ESPECIAIS ";"2,000";"83,60"
"POLVO CONFIT";"DEL MARE";"1,000";"82,25"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"78,47"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"77,00"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"7,000";"76,23"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"73,70"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"70,40"
"Y FILE";"VERDURAS E LEGUMES";"1,000";"70,40"
"COCA COLA LATA";"BEBIDAS GELADAS";"6,000";"65,34"
"CARBONARA ";"PASTE";"1,000";"63,80"
"GYOZA IFOOD";"FRUTAS";"2,000";"60,55"
"SODA ITALIANA";"BEBIDAS GELADAS";"3,000";"59,07"
"NIGUIRI SALMAO";"NIGUIRI";"3,000";"56,84"
"ROCK CHICKEN";"FRUTAS";"2,000";"50,38"
"GYOZA BOVINA";"FRUTAS";"2,000";"50,38"
"NIGUIRI VIEIRA TRUFADA • DUPLA";"TRUFADOS";"1,000";"48,42"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"4,000";"43,56"
"MELANCITA";"DRINKS";"1,000";"42,79"
"SASHIMI ATUM";"SASHIMI";"1,000";"40,00"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"2,000";"39,79"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"2,000";"37,18"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"35,79"
"BOSSA BRAMBLE";"DRINKS";"1,000";"35,20"
"NIGUIRI ATUM •  DUPLA";"NIGUIRI";"2,000";"33,68"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"33,68"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"3,000";"29,37"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"3,000";"29,37"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"VINHO TINTO TAÇA ";"TACAS";"1,000";"21,89"
"LITTLE BEE";"DRINKS";"1,000";"21,89"
"MAKIMONO CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"20,79"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"20,79"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"20,22"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"1,000";"15,29"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"14,33"
"AGUA TONICA LATA";"BEBIDAS GELADAS";"1,000";"11,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"4,000";"0,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"3,000";"0,00"
