"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"13,000";"2073,50"
"COMBINADO PRIME";"COMBINADOS";"8,000";"615,12"
"GAMBERI GRATINATE";"DEL MARE";"4,000";"325,60"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"4,000";"299,19"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"10,000";"289,41"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"COMBINADO SUNSET";"COMBINADOS";"4,000";"180,67"
"LITTLE BEE";"DRINKS";"8,000";"175,12"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"14,000";"152,46"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"151,80"
"FUNDUTA DE FILETTO  AL TARTUFO";"ENTRADAS ITA";"2,000";"147,40"
"Y FILE";"VERDURAS E LEGUMES";"2,000";"140,80"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"2,000";"132,00"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"10,000";"129,71"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"128,70"
"CARBONARA ";"PASTE";"2,000";"127,60"
"MORANDE PIONERO RESERVA PINOT NOIR ";"TINTOS";"1,000";"126,50"
"MADAME";"DRINKS";"5,000";"123,75"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"BOSSA BRAMBLE";"DRINKS";"5,000";"109,45"
"VINHO BRANCO TAÇA";"TACAS";"4,000";"97,46"
"FILETTO AL PEPPE VERDE";"LA CARNE";"1,000";"94,60"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"MOSCOW MULE SMIRNOFF";"DRINKS";"4,000";"87,56"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"1,000";"86,79"
"RISOTTO SURF AND TURF";"RISOTTI";"1,000";"85,80"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"2,000";"83,60"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"4,000";"83,16"
"HOT SALMAO C/CREAM CHEESE";"HOT";"3,000";"75,90"
"LULA RECHEADA SHIMEJI";"FRUTAS";"1,000";"75,79"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"74,80"
"SPAGHETTI ALLE VOGNOLE";"PASTE";"1,000";"72,60"
"SASHIMI VIEIRAS TRUFADAS 5UND";"TRUFADOS";"1,000";"72,49"
"LOVE WASABI";"DRINKS";"2,000";"72,38"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"70,40"
"CAIPIRINHA YPIOCA";"DRINKS";"4,000";"70,40"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"66,00"
"COCONUT SHRIMP";"FRUTAS";"2,000";"65,78"
"FITZGERALD BOMBAY";"DRINKS";"3,000";"65,67"
"GENGIBRADA SMIRNOFF";"DRINKS";"3,000";"65,67"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"6,000";"65,34"
"FONDUTA DI FILETTO AL GORGONZOLA";"ENTRADAS ITA";"1,000";"61,60"
"EBISHIN";"FRUTAS";"2,000";"59,18"
"SODA ITALIANA";"BEBIDAS GELADAS";"3,000";"59,07"
"HOT FUJI CROCK";"HOT";"2,000";"57,20"
"COCA COLA LATA";"BEBIDAS GELADAS";"5,000";"54,45"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"52,80"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"4,000";"50,60"
"GYOZA BOVINA";"FRUTAS";"2,000";"50,38"
"OLD PARR DOSE";"DESTILADOS";"2,000";"50,38"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"50,38"
"IL VERO CARPACCIO";"ENTRADAS ITA";"1,000";"48,88"
"SALMON  BALL";"FRUTAS";"2,000";"43,78"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI ATUM";"SASHIMI";"1,000";"42,79"
"SASHIMI SALMAO";"SASHIMI";"1,000";"42,79"
"MANHANTTAN";"ESPECIAIS ";"1,000";"41,80"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"4,000";"39,16"
"CLERICOT";"DRINKS";"1,000";"38,39"
"FUJI BRAMBLE";"DRINKS";"1,000";"36,19"
"CARAJILLO 43";"CAFES";"1,000";"36,19"
"APPLE COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"APEROL SPRITS";"DRINKS";"1,000";"36,19"
