"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"19,000";"2972,50"
"COMBINADO PRIME";"COMBINADOS";"10,000";"841,07"
"COMBINADO SUNSET";"COMBINADOS";"10,000";"424,54"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"4,000";"378,40"
"COMBINADO SUNRISE";"COMBINADOS";"3,000";"345,91"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"4,000";"277,14"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"7,000";"259,14"
"FITZGERALD BOMBAY";"DRINKS";"9,000";"254,21"
"GUNGA SHIMEJI";"ESPECIAIS ";"7,000";"239,41"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"21,000";"225,72"
"STEAK  TARTUFO";"LA CARNE";"2,000";"217,80"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"217,80"
"MANHANTTAN";"ESPECIAIS ";"5,000";"187,15"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"2,000";"173,58"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"4,000";"167,40"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"4,000";"153,22"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"1,000";"137,50"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"2,000";"135,21"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"7,000";"132,30"
"CARBONARA ";"PASTE";"2,000";"127,60"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"116,97"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"3,000";"114,02"
"SASHIMI SALMAO";"SASHIMI";"3,000";"110,32"
"EBI RUBRA";"ESPECIAIS ";"3,000";"99,79"
"COCONUT SHRIMP";"FRUTAS";"3,000";"98,67"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"1,000";"97,79"
"FILETTO AL PEPPE VERDE";"LA CARNE";"1,000";"94,60"
"FILETTO ALLA ITA";"LA CARNE";"1,000";"94,60"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"2,000";"94,38"
"HOT FUJI CROCK";"HOT";"3,000";"81,47"
"SALMON SANDWICH";"ESPECIAIS ";"2,000";"80,11"
"SEQUENCIA JAPONESA INFANTIL";"COUVERT ARTISTICO";"1,000";"79,75"
"CAIPIFUJI SMIRNOFF";"DRINKS";"2,000";"79,20"
"SALMON  BALL";"FRUTAS";"3,000";"78,87"
"TEMAKIS SALMÃO GRELHADO C/ QUEIJO";"TEMAKI";"2,000";"78,20"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"8,000";"77,43"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"76,89"
"CERVEJA SPATEN";"CERVEJAS";"6,000";"75,90"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"75,90"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"74,80"
"ROCK SHIRIMP";"FRUTAS";"1,000";"73,95"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"73,70"
"PIRULITO DE SALMAO";"ESPECIAIS ";"2,000";"72,79"
"APEROL SPRITS";"DRINKS";"2,000";"72,38"
"MOSCOW MULE SMIRNOFF";"DRINKS";"2,000";"72,38"
"CARPACCIO AL TARTUFO";"ENTRADAS ITA";"1,000";"70,40"
"Y FILE";"VERDURAS E LEGUMES";"1,000";"70,40"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"7,000";"68,53"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"2,000";"66,56"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"66,00"
"COCA COLA LATA";"BEBIDAS GELADAS";"6,000";"63,16"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"3,000";"62,37"
"CEVICHE FRUTOS DO MAR";"ENTRADAS SUSHI";"1,000";"60,39"
"GIN TONICA MORANGO";"DRINKS";"2,000";"60,28"
"MIMO";"ESPECIAIS ";"2,000";"59,94"
"RETIRAR";"ENTRADAS SUSHI";"1,000";"58,19"
"GYOZA BOVINA";"FRUTAS";"2,000";"58,08"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"54,78"
"Y FRANGO";"VERDURAS E LEGUMES";"1,000";"47,25"
"CERVEJA HEINEKEN";"CERVEJAS";"3,000";"44,55"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"BRUSQUETA PARMA,BRIE & MELE AL TARTUFO";"ENTRADAS ITA";"1,000";"42,90"
"ROCK CHICKEN";"FRUTAS";"1,000";"41,80"
"SODA ITALIANA";"BEBIDAS GELADAS";"2,000";"39,38"
"CAMPARI TÔNICA";"DRINKS";"2,000";"39,38"
"GENGIBRADA BOMBAY";"DRINKS";"1,000";"38,39"
"CLERICOT";"DRINKS";"1,000";"38,39"
"BATATA FRITA";"FRUTAS";"1,000";"31,90"
