"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"6,000";"957,00"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"7,000";"500,50"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"435,60"
"SASHIMI SALMAO";"SASHIMI";"6,000";"253,15"
"COMBINADO PRIME";"COMBINADOS";"3,000";"250,58"
"GAMBERI GRATINATE";"DEL MARE";"3,000";"244,20"
"COMBINADO SUNSET";"COMBINADOS";"5,000";"235,16"
"STEAK  TARTUFO";"LA CARNE";"2,000";"217,80"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"19,000";"203,44"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"181,50"
"BATERA SHAKE TORO";"ESPECIAIS ";"3,000";"155,23"
"FITZGERALD";"DRINKS";"7,000";"153,23"
"SALMAO C/ SHIMEJI NO ALUMINIO";"FRUTAS";"2,000";"151,58"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"2,000";"149,60"
"COCONUT SHRIMP";"FRUTAS";"4,000";"131,56"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"2,000";"121,00"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"CERVEJA HEINEKEN";"CERVEJAS";"7,000";"119,35"
"MANHANTTAN";"ESPECIAIS ";"3,000";"117,70"
"BLUE CHEESE BURGER";"FRUTAS";"3,000";"115,17"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"5,000";"103,95"
"DYO VIEIRAS TRUFADAS 2UND";"TRUFADOS";"2,000";"100,23"
"COSECHA TARAPACA CHARDONNAY ";"BRANCOS";"1,000";"99,00"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"10,000";"97,90"
"POLVO CONFIT";"DEL MARE";"1,000";"97,90"
"RISOTTO DI ARAGOSTA";"RISOTTI";"1,000";"97,90"
"IL VERO CARPACCIO";"ENTRADAS ITA";"2,000";"97,76"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"MOSCOW MULE SMIRNOFF";"DRINKS";"3,000";"94,27"
"NIGUIRI SHAKÊ TORÔ TRUFADO • 2UND.";"TRUFADOS";"2,000";"93,59"
"RISOTTO SURF AND TURF";"RISOTTI";"1,000";"85,80"
"VINHO BRANCO TAÇA";"TACAS";"3,000";"82,17"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"4,000";"81,79"
"SODA ITALIANA";"BEBIDAS GELADAS";"4,000";"78,76"
"URAMAKI EBITEN";"ESPECIAIS ";"2,000";"76,32"
"GUNGA SHIMEJI";"ESPECIAIS ";"2,000";"74,52"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"68,99"
"BOSSA BRAMBLE";"DRINKS";"2,000";"57,09"
"ROCK SHIRIMP";"FRUTAS";"1,000";"54,89"
"GYOZA BOVINA";"FRUTAS";"2,000";"50,38"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"5,000";"48,95"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"1,000";"47,19"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"GENGIBRADA THEROS";"DRINKS";"2,000";"43,78"
"CRISPY RICE";"ESPECIAIS ";"1,000";"41,80"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"NIGUIRI SALMAO";"NIGUIRI";"2,000";"41,58"
"MIMO";"ESPECIAIS ";"1,000";"39,60"
"SALADA SUNOMONO";"FRUTAS";"1,000";"38,39"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"38,39"
"LIMONCELLO SPRITZ";"DRINKS";"1,000";"38,39"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"1,000";"37,47"
"APEROL SPRITS";"DRINKS";"1,000";"36,19"
"LITTLE BEE";"DRINKS";"1,000";"36,19"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"32,99"
"CAIPIROSKA SMIRNOFF";"DRINKS";"1,000";"32,89"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"HOT FUJI CROCK";"HOT";"1,000";"28,60"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"SALMON  BALL";"FRUTAS";"1,000";"21,89"
"DESIREE";"DRINKS";"1,000";"21,89"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"1,000";"21,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"2,000";"21,78"
"RED LABEL DOSE";"DESTILADOS";"1,000";"20,79"
"MISSOSHIRO";"FRUTAS";"1,000";"19,80"
"NIGUIRI CAMARAO";"NIGUIRI";"1,000";"14,37"
"SPRITE LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"EXTRA BATATA FRITA ";"FRUTAS";"2,000";"10,78"
"FREIXENET CARTA NEVADA ";"BORBULHAS";"1,000";"0,02"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"1,000";"0,00"
