"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSHINE";"COMBINADOS";"8,000";"1335,86"
"COMBINADO MIX";"COMBINADOS";"4,000";"1078,85"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"45,000";"630,48"
"COMBINADO PRIME";"COMBINADOS";"6,000";"537,75"
"BLUE CHEESE BURGER";"FRUTAS";"11,000";"452,13"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"434,55"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"4,000";"356,27"
"COMBINADO SUNSET";"COMBINADOS";"6,000";"310,80"
"USSUZUKURI TRUFADO";"TRUFADOS";"4,000";"284,20"
"COCONUT SHRIMP";"FRUTAS";"6,000";"261,53"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"4,000";"242,00"
"SALMON  BALL";"FRUTAS";"7,000";"218,67"
"MOSCOW MULE SMIRNOFF";"DRINKS";"8,000";"217,09"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"5,000";"206,70"
"HOT SALMAO C/CREAM CHEESE";"HOT";"8,000";"197,11"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"2,000";"193,60"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"5,000";"192,22"
"GOLD LABEL DOSE";"DESTILADOS";"5,000";"190,71"
"COSMOPOLITAN";"DRINKS";"5,000";"190,52"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"2,000";"189,20"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"18,000";"184,34"
"SALMAO C/ SHIMEJI NO ALUMINIO";"FRUTAS";"2,000";"160,26"
"GIN TONICA ORIGINAL";"DRINKS";"4,000";"157,01"
"SODA ITALIANA";"BEBIDAS GELADAS";"8,000";"156,50"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"16,000";"153,16"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"2,000";"150,74"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"2,000";"149,60"
"BOSSA BRAMBLE";"DRINKS";"5,000";"142,20"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"1,000";"136,80"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"132,00"
"GYOZA BOVINA";"FRUTAS";"4,000";"131,11"
"FITZGERALD";"DRINKS";"4,000";"130,91"
"ROCK CHICKEN";"FRUTAS";"3,000";"126,59"
"CARBONARA ";"PASTE";"2,000";"126,44"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"5,000";"125,62"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"3,000";"125,08"
"SASHIMI SALMAO";"SASHIMI";"3,000";"122,11"
"ROCK SHIRIMP";"FRUTAS";"2,000";"120,71"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"3,000";"114,49"
"ESPORÃO PE BRANCO ";"BRANCOS";"1,000";"108,90"
"CAIPIRINHA YPIOCA";"DRINKS";"5,000";"108,63"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"11,000";"106,87"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"1,000";"98,10"
"CAIPIROSKA SMIRNOFF";"DRINKS";"3,000";"96,62"
"FILETTO ALLA ITA";"LA CARNE";"1,000";"94,60"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"5,000";"93,28"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"7,000";"90,41"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"89,08"
"LIMONCELLO SPRITZ";"DRINKS";"2,000";"87,71"
"RED BULL TRADICIONAL";"BEBIDAS GELADAS";"4,000";"86,96"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"1,000";"86,90"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"85,80"
"RISOTTO SURF AND TURF";"RISOTTI";"1,000";"85,80"
"TIGRADO";"ESPECIAIS ";"2,000";"83,39"
"SILVER CROCK";"ESPECIAIS ";"2,000";"82,94"
"APPLE COSMOPOLITAN";"DRINKS";"3,000";"81,57"
"GAMBERI GRATINATE";"DEL MARE";"1,000";"81,40"
"FILETTO  ALLA PARMEGIANA";"LA CARNE";"1,000";"80,30"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"3,000";"79,81"
"NEGRONI";"DRINKS";"2,000";"79,20"
"MIMO";"ESPECIAIS ";"2,000";"79,20"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"2,000";"78,68"
"SALADA SUNOMONO";"FRUTAS";"2,000";"78,37"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"78,00"
"CAIPIFUJI ABSOLUT";"DRINKS";"2,000";"77,96"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"76,80"
"CERVEJA SPATEN";"CERVEJAS";"5,000";"76,45"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"75,90"
"LULA RECHEADA SHIMEJI";"FRUTAS";"1,000";"75,79"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,80"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"74,80"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"1,000";"69,73"
"GENGIBRADA SMIRNOFF";"DRINKS";"2,000";"65,42"
"ROLHA DE VINHO";"SUCOS E AGUA DE COCO";"1,000";"64,96"
"ATUM NA CROSTA DE GERGELIM";"FRUTAS";"1,000";"64,37"
"EBISHIN";"FRUTAS";"2,000";"63,58"
"FONDUTA DI FILETTO AL GORGONZOLA";"ENTRADAS ITA";"1,000";"60,68"
"HOT FUJI CROCK";"HOT";"2,000";"56,82"
"VINHO TINTO TAÇA ";"TACAS";"2,000";"54,78"
"EXTRA BATATA FRITA ";"FRUTAS";"10,000";"53,48"
"NIGUIRI VIEIRA TRUFADA • DUPLA";"TRUFADOS";"1,000";"52,53"
"IL VERO CARPACCIO";"ENTRADAS ITA";"1,000";"48,88"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"44,00"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"42,68"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,61"
"MELANCITA";"DRINKS";"1,000";"41,80"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"2,000";"41,58"
"OLD FASHIONED";"DRINKS";"1,000";"41,53"
"MANHANTTAN";"ESPECIAIS ";"1,000";"41,48"
"APEROL SPRITS";"DRINKS";"1,000";"41,15"
"DYO UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"39,60"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,30"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,30"
"LOVE WASABI";"DRINKS";"1,000";"38,13"
"KIR ROYAL";"DRINKS";"1,000";"37,22"
"CERVEJA CORONA EXTRA";"CERVEJAS";"2,000";"34,10"
"CERVEJA HEINEKEN";"CERVEJAS";"2,000";"33,87"
"CAMPARI";"DESTILADOS";"2,000";"32,74"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"3,000";"32,50"
"BATATA FRITA ";"FRUTAS";"1,000";"28,18"
"GYOZA IFOOD";"FRUTAS";"1,000";"25,82"
"CHICKEN BAO";"FRUTAS";"1,000";"25,19"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"1,000";"25,03"
"RED BULL SUMMER";"BEBIDAS GELADAS";"1,000";"21,78"
"AGUA DE COCO JARRA";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"1,000";"18,59"
"CERVEJA HEINEKEN ZERO";"CERVEJAS";"1,000";"16,39"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"4,000";"15,92"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"11,00"
"COCA COLA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
