"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"4,000";"869,85"
"COMBINADO PRIME";"COMBINADOS";"9,000";"763,28"
"COMBINADO MIX";"COMBINADOS";"2,000";"526,07"
"COMBINADO SUNSET";"COMBINADOS";"11,000";"485,78"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"34,000";"477,91"
"COCONUT SHRIMP";"FRUTAS";"7,000";"328,93"
"MOSCOW MULE SMIRNOFF";"DRINKS";"11,000";"311,85"
"USSUZUKURI TRUFADO";"TRUFADOS";"4,000";"303,09"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"7,000";"294,08"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"7,000";"285,18"
"EBI RUBRA";"ESPECIAIS ";"7,000";"285,04"
"ROCK CHICKEN";"FRUTAS";"8,000";"266,70"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"8,000";"252,09"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"235,92"
"MORANDE VISIONARIO CHARDONNAY ";"BRANCOS";"2,000";"209,00"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"2,000";"198,00"
"CERVEJA HEINEKEN";"CERVEJAS";"13,000";"192,67"
"HOT SALMAO C/CREAM CHEESE";"HOT";"8,000";"191,40"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"179,32"
"VINHO BRANCO TAÇA";"TACAS";"7,000";"172,49"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"158,38"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"14,000";"151,82"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"2,000";"148,30"
"FITZGERALD BOMBAY";"DRINKS";"6,000";"145,09"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"143,00"
"MADAME";"DRINKS";"5,000";"138,05"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"1,000";"136,58"
"FUJIYAMA  CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"130,52"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"13,000";"126,58"
"SASHIMI SALMAO";"SASHIMI";"3,000";"125,28"
"MANHANTTAN";"ESPECIAIS ";"3,000";"125,00"
"BOSSA BRAMBLE";"DRINKS";"5,000";"121,81"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"12,000";"117,14"
"GYOZA BOVINA";"FRUTAS";"4,000";"115,80"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"114,34"
"ROCK SHIRIMP";"FRUTAS";"2,000";"105,60"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"2,000";"100,96"
"POLVO CONFIT";"DEL MARE";"1,000";"97,90"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"CERVEJA SPATEN";"CERVEJAS";"7,000";"88,10"
"EBISHIN";"FRUTAS";"3,000";"88,08"
"GUNGA SHIMEJI";"ESPECIAIS ";"2,000";"88,00"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"1,000";"85,77"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"2,000";"85,21"
"VINHO TINTO TAÇA ";"TACAS";"3,000";"84,82"
"URAMAKI EBITEN";"ESPECIAIS ";"2,000";"83,14"
"FILÉ A  PARMEGIANA";"LA CARNE";"1,000";"81,40"
"GAMBERI GRATINATE";"DEL MARE";"1,000";"81,40"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"80,83"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"2,000";"78,80"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"4,000";"76,09"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"75,57"
"LULA RECHEADA SHIMEJI";"FRUTAS";"1,000";"75,28"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,25"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"73,70"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"3,000";"71,95"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"3,000";"71,88"
"APPLE COSMOPOLITAN";"DRINKS";"2,000";"71,59"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"70,40"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"66,00"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"66,00"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"65,80"
"LITTLE BEE";"DRINKS";"3,000";"65,67"
