"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"6,000";"957,00"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"5,000";"374,00"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"363,00"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"9,000";"347,44"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"5,000";"281,60"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"25,000";"239,59"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"2,000";"189,20"
"COMBINADO PRIME";"COMBINADOS";"2,000";"153,78"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"128,70"
"ROCK SHIRIMP";"FRUTAS";"2,000";"105,60"
"VINHO TINTO TAÇA ";"TACAS";"4,000";"95,37"
"FILETTO ALLA ITA";"LA CARNE";"1,000";"94,60"
"FILETTO AL PEPPE VERDE";"LA CARNE";"1,000";"94,60"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"86,90"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"12,000";"78,33"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"2,000";"76,78"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"5,000";"65,45"
"SHIMEJI NO ALUMINIO";"FRUTAS";"2,000";"64,90"
"LASANHA ALLA ITA";"PASTE";"1,000";"63,80"
"FONDUTA DI FILETTO AL GORGONZOLA";"ENTRADAS ITA";"1,000";"61,60"
"GYOZA BOVINA";"FRUTAS";"3,000";"50,39"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"7,000";"48,96"
"IL VERO CARPACCIO";"ENTRADAS ITA";"1,000";"48,88"
"SASHIMI SALMAO";"SASHIMI";"1,000";"46,44"
"MADAME";"DRINKS";"3,000";"43,79"
"FITZGERALD BOMBAY";"DRINKS";"2,000";"43,78"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"CLERICOT";"DRINKS";"1,000";"38,39"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,39"
"TIRAMISSU";"SOBREMESA ITA";"1,000";"37,40"
"MOSCOW MULE SMIRNOFF";"DRINKS";"1,000";"36,19"
"CAMPARI TÔNICA";"DRINKS";"1,000";"35,09"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"TORTA DI NOCCIOLE";"SOBREMESA ITA";"4,000";"31,91"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"31,79"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"29,60"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"22,01"
"LITTLE BEE";"DRINKS";"1,000";"21,89"
"SALMON  BALL";"FRUTAS";"1,000";"21,89"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"3,000";"16,00"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"11,00"
"FANTA UVA LATA 350ML";"BEBIDAS GELADAS";"1,000";"9,79"
"FILÉ A  PARMEGIANA";"LA CARNE";"1,000";"0,01"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"0,00"
"COMBINADO MIX";"COMBINADOS";"1,000";"0,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"4,000";"0,00"
