"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"12,000";"1754,52"
"COMBINADO PRIME";"COMBINADOS";"4,000";"346,52"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"20,000";"217,80"
"MOSCOW MULE SMIRNOFF";"DRINKS";"7,000";"196,13"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"143,00"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"2,000";"121,00"
"STEAK  TARTUFO";"LA CARNE";"1,000";"108,90"
"ROCK CHICKEN";"FRUTAS";"4,000";"108,80"
"COMBINADO HAPPY";"COMBINADOS";"2,000";"107,69"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"1,000";"97,79"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"1,000";"94,60"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"84,86"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"83,60"
"APEROL SPRITS";"DRINKS";"3,000";"79,97"
"SEQUENCIA JAPONESA INFANTIL";"COUVERT ARTISTICO";"1,000";"79,75"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"8,000";"78,32"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"77,00"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"3,000";"75,90"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"75,90"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"1,000";"75,90"
"SALMAO C/ SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"75,79"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"75,79"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"71,50"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"CERVEJA HEINEKEN";"CERVEJAS";"4,000";"68,20"
"CARBONARA ";"PASTE";"1,000";"63,80"
"SEX ON THE BEACH";"DRINKS";"2,000";"59,40"
"EBISHIN";"FRUTAS";"2,000";"59,18"
"HOT FUJI CROCK";"HOT";"2,000";"57,20"
"ROCK SHIRIMP";"FRUTAS";"1,000";"54,89"
"PIRULITO DE SALMAO";"ESPECIAIS ";"1,000";"52,80"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"4,000";"52,36"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"6,000";"50,42"
"LITTLE BEE";"DRINKS";"2,000";"43,78"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SALMAO";"SASHIMI";"1,000";"42,79"
"SASHIMI ATUM";"SASHIMI";"1,000";"42,79"
"SALMON  BALL";"FRUTAS";"1,000";"42,79"
"RED LABEL DOSE";"DESTILADOS";"2,000";"41,58"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"1,000";"37,26"
"MANHANTTAN";"ESPECIAIS ";"1,000";"33,73"
"AZEDINHO CACHACA";"DRINKS";"1,000";"29,59"
"VINHO TINTO TAÇA ";"TACAS";"1,000";"27,39"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"1,000";"25,19"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"24,33"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"24,33"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"24,32"
"GIN TONICA TANGERINA";"DRINKS";"1,000";"21,89"
"GIN TONICA TRADICIONAL";"DRINKS";"1,000";"21,89"
"BOSSA BRAMBLE";"DRINKS";"1,000";"21,89"
"COINTREAU";"DESTILADOS";"1,000";"21,89"
"DESIREE";"DRINKS";"1,000";"21,89"
"RED BULL TRADICIONAL";"BEBIDAS GELADAS";"1,000";"21,89"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"19,69"
"SODA ITALIANA";"BEBIDAS GELADAS";"1,000";"19,69"
"ROBATA DE BROCOLIS";"FRUTAS";"1,000";"16,39"
"CERVEJA SPATEN";"CERVEJAS";"1,000";"13,90"
"RISOTTO SURF AND TURF";"RISOTTI";"1,000";"12,86"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"11,39"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"1,000";"11,00"
"LASANHA ALLA ITA";"PASTE";"1,000";"9,57"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,50"
"GYOZA BOVINA";"FRUTAS";"1,000";"0,01"
"COMBINADO MIX";"COMBINADOS";"1,000";"0,01"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"0,01"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"1,000";"0,01"
