"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"16,000";"1306,63"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"49,000";"687,97"
"COMBINADO MIX";"COMBINADOS";"3,000";"674,44"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"651,86"
"COMBINADO SUNRISE";"COMBINADOS";"5,000";"603,02"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"14,000";"471,88"
"USSUZUKURI TRUFADO";"TRUFADOS";"6,000";"454,09"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"5,000";"433,03"
"COMBINADO SUNSET";"COMBINADOS";"10,000";"420,82"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"37,000";"392,30"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"9,000";"389,48"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"9,000";"384,17"
"FITZGERALD BOMBAY";"DRINKS";"12,000";"374,64"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"337,19"
"CARBONARA ";"PASTE";"5,000";"319,00"
"ROCK CHICKEN";"FRUTAS";"10,000";"316,89"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"3,000";"283,80"
"HOT SALMAO C/CREAM CHEESE";"HOT";"11,000";"278,23"
"SALMON  BALL";"FRUTAS";"9,000";"238,57"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"3,000";"224,40"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"2,000";"195,58"
"BRUSQUETA PARMA,BRIE & MELE AL TARTUFO";"ENTRADAS ITA";"4,000";"171,60"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"2,000";"166,83"
"MANHANTTAN";"ESPECIAIS ";"4,000";"165,22"
"COCONUT SHRIMP";"FRUTAS";"5,000";"164,09"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"4,000";"161,98"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"157,72"
"SILVER CROCK";"ESPECIAIS ";"4,000";"152,25"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"2,000";"149,60"
"CERVEJA HEINEKEN";"CERVEJAS";"10,000";"147,67"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"11,000";"143,35"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"2,000";"141,89"
"SHIMEJI NO ALUMINIO";"FRUTAS";"2,000";"141,69"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"2,000";"140,80"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"3,000";"140,71"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"14,000";"136,44"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"14,000";"136,32"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"5,000";"136,10"
"BOSSA BRAMBLE";"DRINKS";"5,000";"136,07"
