"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"18,000";"2871,00"
"COMBINADO MIX";"COMBINADOS";"3,000";"791,99"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"3,000";"260,37"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"242,00"
"SEQUENCIA JAPONESA INFANTIL";"COUVERT ARTISTICO";"3,000";"239,25"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"217,80"
"FILETTO ALLA GORGONZOLA";"LA CARNE";"2,000";"189,20"
"CASA VALDUGA NATURELLE ROSE FRISANTE";"BRANCOS";"1,000";"143,00"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"143,00"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"12,000";"130,68"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"4,000";"101,20"
"COSECHA TARAPACA CHARDONNAY ";"BRANCOS";"1,000";"99,00"
"COMBINADO PRIME";"COMBINADOS";"1,000";"97,78"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"9,000";"88,11"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"1,000";"86,79"
"GENGIBRADA BOMBAY";"DRINKS";"2,000";"76,78"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"75,90"
"HOT SALMAO C/CREAM CHEESE";"HOT";"3,000";"75,90"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,80"
"MOSCOW MULE SMIRNOFF";"DRINKS";"2,000";"72,38"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"GENGIBRADA SMIRNOFF";"DRINKS";"2,000";"65,78"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,60"
"HOT FUJI CROCK";"HOT";"2,000";"57,20"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"52,80"
"ROCK SHIRIMP";"FRUTAS";"1,000";"52,80"
"DYO VIEIRAS TRUFADAS 2UND";"TRUFADOS";"1,000";"50,60"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"4,000";"39,16"
"LITTLE BEE";"DRINKS";"1,000";"36,19"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"BATATA FRITA";"FRUTAS";"1,000";"31,90"
"MIMO";"ESPECIAIS ";"1,000";"31,11"
"CERVEJA HEINEKEN";"CERVEJAS";"2,000";"29,70"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"25,19"
"TORRADA PORCAO ";"FRUTAS";"4,000";"22,00"
"MISSOSHIRO";"FRUTAS";"1,000";"19,80"
"SODA ITALIANA";"BEBIDAS GELADAS";"1,000";"19,69"
"NIGUIRI ATUM •  DUPLA";"NIGUIRI";"1,000";"18,59"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"1,000";"18,59"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"2,000";"11,00"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"1,000";"11,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"10,89"
"GELEIA DE PIMENTA EXTRA";"ENTRADAS SUSHI";"1,000";"4,39"
