"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"12,000";"1856,00"
"COMBINADO PRIME";"COMBINADOS";"8,000";"714,67"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"2,000";"165,69"
"MOSCOW MULE BOMBAY";"DRINKS";"4,000";"162,36"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"4,000";"132,00"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"3,000";"128,70"
"EBI RUBRA";"ESPECIAIS ";"3,000";"125,40"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"10,000";"108,90"
"ROCK SHIRIMP";"FRUTAS";"2,000";"105,60"
"RETIRAR";"ENTRADAS SUSHI";"2,000";"105,38"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"PIRULITO DE SALMAO";"ESPECIAIS ";"2,000";"83,60"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"83,60"
"FITZGERALD BOMBAY";"DRINKS";"3,000";"79,97"
"SODA ITALIANA";"BEBIDAS GELADAS";"4,000";"78,76"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,80"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"73,70"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"Y FILE";"VERDURAS E LEGUMES";"1,000";"70,40"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"2,000";"70,29"
"ROCK CHICKEN";"FRUTAS";"2,000";"66,99"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"3,000";"65,67"
"CARBONARA ";"PASTE";"1,000";"63,80"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"63,58"
"EBISHIN";"FRUTAS";"2,000";"59,18"
"GYOZA BOVINA";"FRUTAS";"2,000";"58,08"
"LITTLE BEE";"DRINKS";"2,000";"58,08"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"3,000";"55,77"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"54,78"
"NIGUIRI VIEIRA TRUFADA • DUPLA";"TRUFADOS";"1,000";"52,80"
"SALMON  BALL";"FRUTAS";"2,000";"50,38"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"COMBINADO SUNSET";"COMBINADOS";"1,000";"43,89"
"MOSCOW MULE SMIRNOFF";"DRINKS";"2,000";"43,78"
"SASHIMI SALMAO";"SASHIMI";"1,000";"42,79"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"MANHANTTAN";"ESPECIAIS ";"1,000";"41,80"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"LIMONCELLO SPRITZ";"DRINKS";"1,000";"38,39"
"NIGUIRI CAMARAO";"NIGUIRI";"2,000";"37,18"
"CAIPIRINHA YPIOCA";"DRINKS";"2,000";"35,20"
"COCONUT SHRIMP";"FRUTAS";"1,000";"32,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"2,000";"26,18"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"21,89"
"MADAME";"DRINKS";"1,000";"21,89"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"MISSOSHIRO";"FRUTAS";"1,000";"19,80"
"CERVEJA HEINEKEN";"CERVEJAS";"1,000";"14,85"
"CERVEJA SPATEN";"CERVEJAS";"1,000";"12,65"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"1,000";"11,00"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"1,000";"9,79"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"1,000";"9,79"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,50"
