"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"10,000";"805,60"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"434,49"
"AZUMA KIRIN GUINJO GFA";"DESTILADOS";"2,000";"414,24"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"4,000";"394,12"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"27,000";"379,93"
"COMBINADO SUNSET";"COMBINADOS";"7,000";"314,76"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"3,000";"263,34"
"COMBINADO MIX";"COMBINADOS";"1,000";"262,30"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"3,000";"259,73"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"6,000";"248,84"
"GYOZA BOVINA";"FRUTAS";"9,000";"226,44"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"212,01"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"18,000";"192,31"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"180,20"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"2,000";"173,58"
"CORDERO CON PIEL DE LOBO MALBEC ";"TINTOS";"1,000";"154,00"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"2,000";"149,60"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"2,000";"140,30"
"SODA ITALIANA";"BEBIDAS GELADAS";"7,000";"137,67"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"1,000";"137,50"
"ARTE DE ARGENTO PINOT GRIGIO";"BRANCOS";"1,000";"132,00"
"COCONUT SHRIMP";"FRUTAS";"3,000";"131,67"
"MOSCOW MULE SMIRNOFF";"DRINKS";"6,000";"130,64"
"FITZGERALD BOMBAY";"DRINKS";"4,000";"129,59"
"CARBONARA ";"PASTE";"2,000";"127,60"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"13,000";"126,88"
"EBI RUBRA";"ESPECIAIS ";"3,000";"124,87"
"SASHIMI BARRIGA DE SALMAO TRUFADO 5UND";"TRUFADOS";"2,000";"122,97"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"120,12"
"SALMON  BALL";"FRUTAS";"5,000";"109,22"
"PE TINTO";"TINTOS";"1,000";"108,90"
"STEAK  TARTUFO";"LA CARNE";"1,000";"108,90"
"POLVO CONFIT";"DEL MARE";"1,000";"97,90"
