"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"24,000";"1954,04"
"USSUZUKURI TRUFADO";"TRUFADOS";"9,000";"780,67"
"COCONUT SHRIMP";"FRUTAS";"11,000";"460,02"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"15,000";"446,77"
"COMBINADO SUNSET";"COMBINADOS";"8,000";"361,54"
"FITZGERALD BOMBAY";"DRINKS";"13,000";"355,42"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"8,000";"343,20"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"337,47"
"MOSCOW MULE SMIRNOFF";"DRINKS";"11,000";"325,41"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"27,000";"293,45"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"17,000";"238,88"
"GYOZA BOVINA";"FRUTAS";"8,000";"231,86"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"217,51"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"213,23"
"VINHO BRANCO TAÇA";"TACAS";"7,000";"202,73"
"ROCK CHICKEN";"FRUTAS";"5,000";"191,66"
"CARBONARA ";"PASTE";"3,000";"191,40"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"176,65"
"SASHIMI SALMAO";"SASHIMI";"4,000";"162,58"
"PIRULITO DE SALMAO";"ESPECIAIS ";"3,000";"158,40"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"4,000";"151,84"
"HOT SALMAO C/CREAM CHEESE";"HOT";"6,000";"148,62"
"PENNE DE SALMAO AO LIMONE";"PASTE";"2,000";"147,40"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"6,000";"140,12"
"SALMON SANDWICH";"ESPECIAIS ";"3,000";"128,03"
"ASIAN TUNA";"FRUTAS";"2,000";"122,63"
"GENGIBRADA SMIRNOFF";"DRINKS";"5,000";"120,45"
"MADAME";"DRINKS";"4,000";"116,16"
"GUNGA SHIMEJI";"ESPECIAIS ";"3,000";"109,33"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"4,000";"107,07"
"ROCK SHIRIMP";"FRUTAS";"2,000";"105,08"
"MORANDE VISIONARIO CHARDONNAY ";"BRANCOS";"1,000";"103,85"
"VISIONARIO ROSE";"ROSE";"1,000";"103,27"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"1,000";"99,00"
"FILETTO ALLA ITA";"LA CARNE";"1,000";"94,60"
"FILETTO AL PEPPE VERDE";"LA CARNE";"1,000";"94,60"
"EBISHIN";"FRUTAS";"3,000";"88,77"
"BAMBINO DI FILETO";"LA CARNE";"2,000";"87,78"
