"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"7,000";"501,17"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"408,30"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"9,000";"371,39"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"363,00"
"MORANDE SELEC. GRAN RESERVA GEW.";"BRANCOS";"2,000";"352,00"
"EMILIANA ADOBE CHARDONNAY ";"BRANCOS";"2,000";"352,00"
"BALLENA";"DESTILADOS";"11,000";"349,69"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"7,000";"300,30"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"COMBINADO SUNSET";"COMBINADOS";"6,000";"247,73"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"22,000";"238,59"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"173,80"
"EBI RUBRA";"ESPECIAIS ";"4,000";"160,09"
"COCONUT SHRIMP";"FRUTAS";"3,000";"131,67"
"GOLD LABEL DOSE";"DESTILADOS";"3,000";"115,17"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"101,21"
"OLD PARR DOSE";"DESTILADOS";"4,000";"100,76"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"87,89"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"SASHIMI SHAKE UDAMA TRUFADO 2UND";"TRUFADOS";"2,000";"85,58"
"SASHIMI SALMAO";"SASHIMI";"2,000";"85,58"
"MADAME";"DRINKS";"3,000";"79,97"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"8,000";"78,32"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"77,00"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"76,78"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"76,75"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"73,50"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"7,000";"68,53"
"FUJIYAMA  CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"65,99"
"GENGIBRADA SMIRNOFF";"DRINKS";"2,000";"65,78"
"CARBONARA ";"PASTE";"1,000";"63,80"
"FILE TRINCHADO GORGONZOLA";"VERDURAS E LEGUMES";"1,000";"63,80"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"63,58"
"DYO SHAKÊ IKURA 2UND";"SUSHI DESIGN";"1,000";"59,40"
"RETIRAR";"ENTRADAS SUSHI";"1,000";"58,19"
"GYOZA BOVINA";"FRUTAS";"2,000";"58,08"
"EBI IKURA";"ESPECIAIS ";"1,000";"52,80"
"ROCK CHICKEN";"FRUTAS";"2,000";"50,38"
"NIGUIRI SHAKÊ TORÔ TRUFADO • 2UND.";"TRUFADOS";"1,000";"46,20"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"2,000";"43,78"
"LITTLE BEE";"DRINKS";"2,000";"43,78"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SHAKÊ TORÔ TRUFADO 2 UND";"TRUFADOS";"1,000";"42,79"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"NIGUIRI POLVO";"NIGUIRI";"2,000";"41,58"
"CLERICOT";"DRINKS";"1,000";"38,39"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"38,25"
"NEGRONI";"DRINKS";"1,000";"36,19"
"LOVE WASABI";"DRINKS";"1,000";"36,19"
"SALADA SUNOMONO";"FRUTAS";"1,000";"32,89"
"CERVEJA HEINEKEN";"CERVEJAS";"2,000";"32,78"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"BATATA FRITA";"FRUTAS";"1,000";"31,90"
"KIR ROYAL";"DRINKS";"1,000";"30,80"
"TEMAKI ATUM";"TEMAKI";"1,000";"30,00"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"25,19"
"GIN TONICA TANGERINA";"DRINKS";"1,000";"21,89"
"MOSCOW MULE SMIRNOFF";"DRINKS";"1,000";"21,89"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"2,000";"21,78"
"NIGUIRI PEIXE BRANCO • DUPLA";"NIGUIRI";"1,000";"18,59"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"CAIPIRINHA YPIOCA";"DRINKS";"1,000";"17,60"
"AGUA DE COCO JARRA";"SUCOS E AGUA DE COCO";"1,000";"16,39"
"MAKIMONO CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"16,01"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"SPRITE ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"FREIXENET CARTA NEVADA ";"BORBULHAS";"1,000";"0,02"
"TEMAKIS SALMÃO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"1,000";"0,00"
