"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"4,000";"824,79"
"COMBINADO SUNSHINE";"COMBINADOS";"3,000";"505,04"
"COMBINADO SUNSET";"COMBINADOS";"9,000";"379,58"
"SASHIMI SALMAO";"SASHIMI";"8,000";"335,07"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"7,000";"269,39"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"12,000";"236,33"
"COMBINADO PRIME";"COMBINADOS";"3,000";"230,67"
"MOSCOW MULE SMIRNOFF";"DRINKS";"8,000";"189,42"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"4,000";"153,31"
"ROCK CHICKEN";"FRUTAS";"4,000";"133,98"
"FUJIYAMA  CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"133,41"
"FITZGERALD BOMBAY";"DRINKS";"4,000";"130,46"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"119,22"
"MANHANTTAN";"ESPECIAIS ";"3,000";"118,28"
"HOT SALMAO C/CREAM CHEESE";"HOT";"7,000";"98,20"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"5,000";"95,45"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"87,89"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"8,000";"87,12"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,09"
"URAMAKI EBITEN";"ESPECIAIS ";"2,000";"83,51"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"5,000";"83,40"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"1,000";"82,16"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"4,000";"81,11"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"2,000";"80,76"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"78,24"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"76,78"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"5,000";"76,45"
"GYOZA BOVINA";"FRUTAS";"3,000";"75,57"
"NIGUIRI SALMAO";"NIGUIRI";"4,000";"72,72"
"SASHIMI VIEIRAS TRUFADAS 5UND";"TRUFADOS";"1,000";"72,49"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"62,14"
"SODA ITALIANA";"BEBIDAS GELADAS";"3,000";"59,07"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"6,000";"58,74"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"54,78"
"NIGUIRI UNAGUI • DUPLA";"SUSHI DESIGN";"1,000";"52,80"
"HOT FUJI CROCK";"HOT";"2,000";"50,88"
"ROBATA DE BROCOLIS";"FRUTAS";"3,000";"47,71"
"EBISHIN IFOOD";"FRUTAS";"1,000";"47,39"
" MISTO";"VERDURAS E LEGUMES";"1,000";"46,21"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"44,73"
"SASHIMI SHAKÊ TORÔ TRUFADO 2 UND";"TRUFADOS";"1,000";"43,78"
"SASHIMI ATUM MACARICADO";"SASHIMI";"1,000";"41,30"
"TEMAKI ATUM";"TEMAKI";"1,000";"40,50"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"40,02"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"1,000";"39,60"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"2,000";"37,18"
"LITTLE BEE";"DRINKS";"1,000";"36,19"
"CAIPIRINHA YPIOCA";"DRINKS";"2,000";"35,20"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"VINHO BRANCO TAÇA";"TACAS";"1,000";"21,89"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"CAFE NESPRESSO";"CAFES";"2,000";"21,78"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"21,13"
"SUCO IFOOD ABACAXI C HORTELA";"SUCOS E AGUA DE COCO";"2,000";"20,86"
"MAKIMONO CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"20,74"
"RED BULL MELANCIA";"BEBIDAS GELADAS";"2,000";"19,16"
"MAKIMONO SKIN C/CREAM CHEESE";"MAKIMONO";"1,000";"15,60"
"NIGUIRI SKIN CROCK";"NIGUIRI";"1,000";"14,96"
"COCA COLA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"1,000";"9,79"
"COUVE CROCK EXTRA";"ENTRADAS SUSHI";"1,000";"7,06"
"TEMAKIS SALMÃO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"5,000";"0,00"
"RETIRAR";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"7,000";"0,00"
