"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"PIRULITO DE SALMAO";"ESPECIAIS ";"5,000";"246,92"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"242,00"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"6,000";"237,53"
"DESIREE";"DRINKS";"8,000";"232,32"
"COMBINADO HAPPY";"COMBINADOS";"5,000";"219,45"
"URAMAKI EBITEN";"ESPECIAIS ";"5,000";"201,74"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"2,000";"165,70"
"MANHANTTAN";"ESPECIAIS ";"4,000";"154,78"
"CERVEJA SPATEN";"CERVEJAS";"10,000";"152,90"
"BLUE CHEESE BURGER";"FRUTAS";"3,000";"148,17"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"142,78"
"MOSCOW MULE SMIRNOFF";"DRINKS";"4,000";"130,46"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"7,000";"129,07"
"SASHIMI SALMAO";"SASHIMI";"3,000";"122,11"
"BATERA SHAKE TORO";"ESPECIAIS ";"2,000";"105,60"
"COSECHA TARAPACA MERLOT";"TINTOS";"1,000";"99,00"
"COCONUT SHRIMP";"FRUTAS";"2,000";"98,78"
"SALMON SANDWICH";"ESPECIAIS ";"2,000";"92,40"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"17,000";"78,33"
"GYOZA BOVINA";"FRUTAS";"2,000";"77,00"
"COMBINADO PRIME";"COMBINADOS";"1,000";"76,89"
"EBI RUBRA";"ESPECIAIS ";"2,000";"76,34"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"75,98"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"3,000";"73,70"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"SALMON  BALL";"FRUTAS";"3,000";"65,67"
"CARBONARA ";"PASTE";"1,000";"63,80"
"NIGUIRI SALMAO";"NIGUIRI";"3,000";"62,37"
"MONTE INFINITUS CARBENE SAUV";"TINTOS";"1,000";"60,50"
"LOVE WASABI";"DRINKS";"2,000";"58,08"
"FUJIYAMA  CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"55,99"
"DYO VIEIRAS TRUFADAS 2UND";"TRUFADOS";"1,000";"50,60"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SHAKE UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"42,79"
"CRISPY RICE";"ESPECIAIS ";"1,000";"41,80"
"MIMO";"ESPECIAIS ";"1,000";"39,60"
"DYO UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"39,60"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"TIGRADO";"ESPECIAIS ";"1,000";"38,17"
"CHICKEN BAO";"FRUTAS";"1,000";"37,40"
"SASHIMI ATUM";"SASHIMI";"1,000";"36,50"
"APPLE MARTINI";"DRINKS";"1,000";"36,19"
"APEROL SPRITS";"DRINKS";"1,000";"36,19"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"36,18"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"1,000";"35,92"
"CAIPIRINHA YPIOCA";"DRINKS";"2,000";"35,20"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"33,00"
"CAIPIROSKA SMIRNOFF";"DRINKS";"1,000";"32,89"
"SALADA SUNOMONO";"FRUTAS";"1,000";"32,80"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"3,000";"32,67"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"ROCK CHICKEN";"FRUTAS";"1,000";"25,19"
"FITZGERALD";"DRINKS";"1,000";"21,89"
"LITTLE BEE";"DRINKS";"1,000";"21,89"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"CAFE NESPRESSO";"CAFES";"2,000";"21,78"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"2,000";"20,83"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"2,000";"20,08"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"19,69"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"2,000";"19,58"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"1,000";"18,59"
"MAKIMONO SALMAO & CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"17,77"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"17,77"
"CERVEJA HEINEKEN";"CERVEJAS";"1,000";"17,05"
"ROBATA DE BROCOLIS";"FRUTAS";"1,000";"16,39"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"11,00"
"EXTRA BATATA FRITA ";"FRUTAS";"2,000";"10,78"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,50"
"MOLHO SHOYU EXTRA";"ENTRADAS SUSHI";"1,000";"2,76"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"0,02"
"FREIXENET CARTA NEVADA ";"BORBULHAS";"1,000";"0,02"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"0,01"
"TEMAKIS SALMÃO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"REFRIGERANTES";"BEBIDAS GELADAS";"2,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"3,000";"0,00"
