"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSHINE";"COMBINADOS";"4,000";"725,39"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"634,59"
"COMBINADO SUNSET";"COMBINADOS";"8,000";"395,34"
"COMBINADO PRIME";"COMBINADOS";"3,000";"250,58"
"SASHIMI SALMAO";"SASHIMI";"4,000";"162,13"
"MOSCOW MULE SMIRNOFF";"DRINKS";"6,000";"159,94"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"5,000";"146,92"
"Y FILE";"VERDURAS E LEGUMES";"2,000";"140,80"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"2,000";"131,43"
"MANHANTTAN";"ESPECIAIS ";"3,000";"121,68"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"6,000";"115,16"
"CAIPIROSKA  ABSOLUT";"DRINKS";"3,000";"112,20"
"FITZGERALD BOMBAY";"DRINKS";"5,000";"109,45"
"COSECHA TARAPACA MERLOT";"TINTOS";"1,000";"99,00"
"COCONUT SHRIMP";"FRUTAS";"3,000";"98,67"
"HOT SALMAO C/CREAM CHEESE";"HOT";"4,000";"96,49"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"2,000";"90,99"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"87,89"
"MADAME";"DRINKS";"4,000";"87,56"
"VINHO BRANCO TAÇA";"TACAS";"4,000";"87,56"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"1,000";"86,79"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"86,55"
"SASHIMI ATUM";"SASHIMI";"2,000";"81,22"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"2,000";"79,47"
"PIRULITO DE SALMAO";"ESPECIAIS ";"2,000";"78,91"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"76,76"
"C MIX";"TRUFADOS";"1,000";"74,80"
"ROCK SHIRIMP";"FRUTAS";"1,000";"70,15"
"GENGIBRADA SMIRNOFF";"DRINKS";"3,000";"65,67"
"MOJITO";"DRINKS";"2,000";"61,60"
"GYOZA IFOOD";"FRUTAS";"2,000";"60,79"
" MISTO";"VERDURAS E LEGUMES";"1,000";"59,38"
"SODA ITALIANA";"BEBIDAS GELADAS";"3,000";"59,07"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"6,000";"58,74"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"52,80"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,69"
"ROCK CHICKEN";"FRUTAS";"2,000";"50,38"
"GYOZA BOVINA";"FRUTAS";"2,000";"50,38"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"5,000";"48,95"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"43,98"
"BOSSA BRAMBLE";"DRINKS";"2,000";"43,78"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"4,000";"43,56"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"41,88"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"39,00"
"SASHIMI PEIXE BRANCO";"SASHIMI";"1,000";"36,44"
"EBI RUBRA";"ESPECIAIS ";"1,000";"33,47"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"33,00"
"ROCK CHICKEN IFOOD";"FRUTAS";"1,000";"32,99"
"SEX ON THE BEACH";"DRINKS";"1,000";"29,70"
"EBISHIN";"FRUTAS";"1,000";"29,59"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"23,37"
"COCA COLA LATA";"BEBIDAS GELADAS";"2,000";"21,78"
"MAKIMONO CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"19,73"
"NIGUIRI SALMAO";"NIGUIRI";"1,000";"19,21"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"16,66"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"2,000";"11,00"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"2,000";"10,37"
"RED BULL MELANCIA";"BEBIDAS GELADAS";"1,000";"9,96"
"SPRITE LATA";"BEBIDAS GELADAS";"1,000";"9,90"
"SPRITE ZERO LATA";"BEBIDAS GELADAS";"1,000";"9,90"
"MOLHO TERIYAKI EXTRA";"ENTRADAS SUSHI";"1,000";"4,13"
"TEMAKI TRADICIONAL";"TEMAKI";"2,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"1,000";"0,00"
"RETIRAR";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"TEMAKIS SALMÃO GRELHADO C/ QUEIJO";"TEMAKI";"2,000";"0,00"
