"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO MIX";"COMBINADOS";"3,000";"792,00"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"217,80"
"MANHANTTAN";"ESPECIAIS ";"5,000";"209,00"
"COMBINADO PRIME";"COMBINADOS";"2,000";"193,60"
"MOSCOW MULE SMIRNOFF";"DRINKS";"5,000";"180,95"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"162,80"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"159,50"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"2,000";"132,00"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"3,000";"128,70"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"126,50"
"JP AZEITAO TINTO";"TINTOS";"1,000";"121,00"
"MADAME";"DRINKS";"3,000";"108,57"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"10,000";"97,90"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"5,000";"92,95"
"TROPICAL GIN";"DRINKS";"2,000";"85,58"
"GIN TONICA MACA VERDE";"DRINKS";"2,000";"76,78"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"75,90"
"FITZGERALD BOMBAY";"DRINKS";"2,000";"72,38"
"COMBINADO SUNSET";"COMBINADOS";"1,000";"65,89"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"6,000";"65,34"
"CEVICHE FRUTOS DO MAR";"ENTRADAS SUSHI";"1,000";"60,39"
"RETIRAR";"ENTRADAS SUSHI";"1,000";"52,69"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,69"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"2,000";"50,38"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"EBI RUBRA";"ESPECIAIS ";"1,000";"41,80"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"41,80"
"ROCK CHICKEN";"FRUTAS";"1,000";"41,80"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"EBISHIN";"FRUTAS";"1,000";"41,80"
"SAKEROSKA";"DRINKS";"1,000";"39,60"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"2,000";"37,18"
"NEGRONI";"DRINKS";"1,000";"36,19"
"LITTLE BEE";"DRINKS";"1,000";"36,19"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"32,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"SALMON  BALL";"FRUTAS";"1,000";"28,49"
"OLD PARR DOSE";"DESTILADOS";"1,000";"25,19"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"2,000";"19,58"
