"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"16,000";"1335,88"
"COMBINADO MIX";"COMBINADOS";"4,000";"1030,19"
"COMBINADO ESPECIAL";"COMBINADOS";"5,000";"1030,16"
"FITZGERALD";"DRINKS";"31,000";"1017,90"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"56,000";"780,44"
"COMBINADO SUNSET";"COMBINADOS";"12,000";"659,84"
"MOSCOW MULE SMIRNOFF";"DRINKS";"18,000";"545,32"
"ROCK CHICKEN";"FRUTAS";"15,000";"532,92"
"COMBINADO SUNRISE";"COMBINADOS";"5,000";"497,35"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"7,000";"421,31"
"USSUZUKURI TRUFADO";"TRUFADOS";"6,000";"410,61"
"GYOZA BOVINA";"FRUTAS";"11,000";"371,65"
"NEGRONI";"DRINKS";"9,000";"316,81"
"SALMON  BALL";"FRUTAS";"10,000";"303,77"
"COCONUT SHRIMP";"FRUTAS";"7,000";"294,33"
"HOT SALMAO C/CREAM CHEESE";"HOT";"15,000";"294,28"
"LITTLE BEE";"DRINKS";"10,000";"280,65"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"4,000";"278,53"
"CERVEJA CORONA EXTRA";"CERVEJAS";"16,000";"272,80"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"29,000";"271,84"
"FILE  GORGONZOLA";"COZINHA FUJI";"3,000";"252,80"
"BLUE CHEESE BURGER";"FRUTAS";"7,000";"251,96"
"MANHANTTAN";"ESPECIAIS ";"6,000";"242,85"
"EBI RUBRA";"ESPECIAIS ";"6,000";"242,26"
"MELANCITA";"DRINKS";"6,000";"239,02"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"25,000";"232,19"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"21,000";"227,17"
"COSMOPOLITAN";"DRINKS";"8,000";"223,61"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"6,000";"219,59"
"LICOR 43";"DESTILADOS";"8,000";"217,78"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"5,000";"215,45"
"BOSSA BRAMBLE";"DRINKS";"9,000";"212,44"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"2,000";"195,58"
"GOLD LABEL DOSE";"DESTILADOS";"5,000";"191,95"
"VINHO BRANCO TAÇA";"TACAS";"15,000";"191,73"
"KAWASAKI ";"URAMAKI";"4,000";"186,67"
"FREIXENET CARTA NEVADA ";"BORBULHAS";"1,000";"184,76"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"2,000";"171,80"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"5,000";"164,05"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"163,90"
"SASHIMI SALMAO";"SASHIMI";"4,000";"163,55"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"4,000";"162,60"
"OLD PARR DOSE";"DESTILADOS";"6,000";"146,56"
"CASA VALDUGA NATURALLE TINTO";"TINTOS";"1,000";"143,00"
