"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"16,000";"1280,24"
"COMBINADO ESPECIAL";"COMBINADOS";"5,000";"1019,92"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"66,000";"926,85"
"FITZGERALD BOMBAY";"DRINKS";"28,000";"756,89"
"COMBINADO SUNSHINE";"COMBINADOS";"3,000";"543,38"
"COMBINADO SUNSET";"COMBINADOS";"14,000";"540,38"
"COMBINADO MIX";"COMBINADOS";"2,000";"528,00"
"USSUZUKURI TRUFADO";"TRUFADOS";"6,000";"510,39"
"COMBINADO SUNRISE";"COMBINADOS";"5,000";"507,31"
"MANHANTTAN";"ESPECIAIS ";"12,000";"481,77"
"MOSCOW MULE SMIRNOFF";"DRINKS";"16,000";"463,87"
"APEROL SPRITS";"DRINKS";"12,000";"433,45"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"15,000";"418,90"
"SALMON SANDWICH";"ESPECIAIS ";"9,000";"394,88"
"HOT SALMAO C/CREAM CHEESE";"HOT";"18,000";"367,85"
"COCONUT SHRIMP";"FRUTAS";"9,000";"353,36"
"MOSCOW MULE TRADICIONAL";"DRINKS";"10,000";"335,84"
"SASHIMI SALMAO";"SASHIMI";"8,000";"328,50"
"PE TINTO";"TINTOS";"3,000";"324,87"
"EBISHIN";"FRUTAS";"11,000";"324,67"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"14,000";"317,32"
"GYOZA BOVINA";"FRUTAS";"11,000";"282,20"
"MADAME";"DRINKS";"10,000";"274,91"
"ROCK SHIRIMP";"FRUTAS";"5,000";"263,35"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"29,000";"263,18"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"3,000";"259,75"
"ROCK CHICKEN";"FRUTAS";"9,000";"256,57"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"6,000";"251,70"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"23,000";"240,18"
"SALMON  BALL";"FRUTAS";"9,000";"236,43"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"5,000";"219,62"
"CERVEJA CORONA EXTRA";"CERVEJAS";"12,000";"209,53"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"6,000";"207,71"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"5,000";"206,34"
"EBI RUBRA";"ESPECIAIS ";"5,000";"201,60"
"SALADA SUNOMONO";"FRUTAS";"6,000";"193,20"
"LIMONCELLO SPRITZ";"DRINKS";"5,000";"190,96"
"CAIPIROSKA  ABSOLUT";"DRINKS";"5,000";"186,30"
"CERVEJA HEINEKEN";"CERVEJAS";"11,000";"179,36"
"FILE  GORGONZOLA";"COZINHA FUJI";"2,000";"173,21"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"2,000";"166,35"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"159,32"
