"Produto";"Grupo";"Quantidade";"Valor"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"100,000";"1355,98"
"COMBINADO MIX";"COMBINADOS";"5,000";"1246,86"
"COMBINADO PRIME";"COMBINADOS";"13,000";"980,64"
"COMBINADO SUNSHINE";"COMBINADOS";"5,000";"903,35"
"COMBINADO SUNSET";"COMBINADOS";"15,000";"648,62"
"COMBINADO SUNRISE";"COMBINADOS";"5,000";"603,53"
"FITZGERALD BOMBAY";"DRINKS";"15,000";"495,68"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"5,000";"433,22"
"MOSCOW MULE SMIRNOFF";"DRINKS";"17,000";"432,23"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"15,000";"408,26"
"BOSSA BRAMBLE";"DRINKS";"12,000";"365,25"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"32,000";"337,86"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"9,000";"327,64"
"PONTO NERO LIVE DREAM";"BORBULHAS";"3,000";"324,79"
"MANHANTTAN";"ESPECIAIS ";"8,000";"317,47"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"4,000";"310,61"
"MADAME";"DRINKS";"13,000";"307,85"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"8,000";"296,17"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"8,000";"284,73"
"ROCK CHICKEN";"FRUTAS";"11,000";"282,43"
"RETIRAR";"ENTRADAS SUSHI";"5,000";"278,92"
"GYOZA BOVINA";"FRUTAS";"10,000";"277,78"
"CARBONARA ";"PASTE";"4,000";"253,67"
"EBI RUBRA";"ESPECIAIS ";"6,000";"244,87"
"CORDEILIER BRUT ROSE";"BORBULHAS";"2,000";"239,71"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"27,000";"232,01"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"7,000";"225,49"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"3,000";"223,10"
"GENGIBRADA SMIRNOFF";"DRINKS";"8,000";"212,37"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"8,000";"202,40"
"MELANCITA";"DRINKS";"5,000";"198,39"
"CHANDON RESERVE BRUT";"BORBULHAS";"1,000";"189,20"
"EBISHIN";"FRUTAS";"6,000";"188,90"
"CERVEJA HEINEKEN";"CERVEJAS";"11,000";"179,53"
"SALMON SANDWICH";"ESPECIAIS ";"4,000";"178,45"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"18,000";"174,78"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"2,000";"165,90"
"VINHO TINTO TAÇA ";"TACAS";"7,000";"161,72"
"SASHIMI SALMAO";"SASHIMI";"4,000";"153,73"
"LULA RECHEADA SHIMEJI";"FRUTAS";"2,000";"150,08"
"GIN TONICA MORANGO";"DRINKS";"6,000";"146,87"
"SALMON  BALL";"FRUTAS";"5,000";"142,88"
"CASA VALDUGA NATURELLE ROSE FRISANTE";"BRANCOS";"1,000";"142,17"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"140,98"
"Y FILE";"VERDURAS E LEGUMES";"2,000";"138,91"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"6,000";"136,70"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"10,000";"129,47"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"1,000";"124,86"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"6,000";"114,53"
"COCA COLA LATA";"BEBIDAS GELADAS";"13,000";"114,38"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"2,000";"104,69"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"4,000";"104,58"
"ROCK SHIRIMP";"FRUTAS";"2,000";"104,22"
"GIN TONICA TANGERINA";"DRINKS";"4,000";"103,59"
"HOT SALMAO C/CREAM CHEESE";"HOT";"4,000";"94,06"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"4,000";"93,80"
"GENGIBRADA BOMBAY";"DRINKS";"3,000";"89,92"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"1,000";"86,29"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"82,97"
"GIN TONICA MACA VERDE";"DRINKS";"3,000";"82,04"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"76,28"
