"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSET";"COMBINADOS";"8,000";"286,24"
"COMBINADO PRIME";"COMBINADOS";"8,000";"224,24"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"215,85"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"17,000";"162,59"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"155,99"
"ROCK CHICKEN";"FRUTAS";"6,000";"150,36"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"5,000";"135,77"
"CERVEJA HEINEKEN";"CERVEJAS";"9,000";"132,81"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"MANHANTTAN";"ESPECIAIS ";"3,000";"111,61"
"FITZGERALD BOMBAY";"DRINKS";"6,000";"105,29"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"15,000";"95,90"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"2,000";"89,60"
"MADAME";"DRINKS";"5,000";"88,90"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"76,62"
"SASHIMI SALMAO";"SASHIMI";"2,000";"71,89"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"65,32"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"65,32"
"MOSCOW MULE SMIRNOFF";"DRINKS";"3,000";"65,22"
"BOSSA BRAMBLE";"DRINKS";"3,000";"65,00"
"GYOZA IFOOD";"FRUTAS";"2,000";"54,37"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"4,000";"50,10"
"SASHIMI SHAKÊ TORÔ TRUFADO 2 UND";"TRUFADOS";"1,000";"48,15"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"46,20"
"MELANCITA";"DRINKS";"1,000";"42,33"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"40,55"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"40,13"
"SASHIMI POLVO";"SASHIMI";"1,000";"39,02"
"EBI RUBRA";"ESPECIAIS ";"1,000";"36,69"
"COCONUT SHRIMP";"FRUTAS";"2,000";"36,26"
"COSMOPOLITAN";"DRINKS";"1,000";"35,80"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"33,00"
"CAIPIROSKA SMIRNOFF";"DRINKS";"1,000";"32,89"
"HOT SUCRILHOS";"HOT";"1,000";"27,90"
"HOT FUJI CROCK";"HOT";"1,000";"26,08"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"25,83"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"24,14"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"22,11"
"GIN TONICA MORANGO";"DRINKS";"1,000";"21,89"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"18,96"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"2,000";"17,07"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"1,000";"16,95"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"15,42"
"NIGUIRI SKIN CROCK";"NIGUIRI";"1,000";"14,95"
"SODA ITALIANA";"BEBIDAS GELADAS";"2,000";"11,95"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"2,000";"10,34"
"YCAMARAO";"VERDURAS E LEGUMES";"1,000";"9,77"
"EBISHIN";"FRUTAS";"1,000";"8,98"
"SALMON  BALL";"FRUTAS";"2,000";"8,52"
"GYOZA BOVINA";"FRUTAS";"1,000";"7,65"
"GENGIBRE EXTRA";"ENTRADAS SUSHI";"2,000";"5,90"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"3,000";"5,51"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"4,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"4,20"
"WASABI EXTRA";"ENTRADAS SUSHI";"1,000";"4,00"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"3,45"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"2,92"
"CERVEJAS";"CERVEJAS";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"2,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
