"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"6,000";"1268,70"
"MANHANTTAN";"ESPECIAIS ";"14,000";"552,36"
"COMBINADO PRIME";"COMBINADOS";"7,000";"538,23"
"COMBINADO SUNSHINE";"COMBINADOS";"3,000";"520,21"
"COMBINADO MIX";"COMBINADOS";"2,000";"504,95"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"6,000";"501,82"
"SASHIMI SALMAO";"SASHIMI";"9,000";"357,15"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"12,000";"338,18"
"CERVEJA SPATEN";"CERVEJAS";"20,000";"253,00"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"6,000";"241,50"
"MOSCOW MULE SMIRNOFF";"DRINKS";"9,000";"239,91"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"3,000";"238,78"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"231,53"
"SALMON SANDWICH";"ESPECIAIS ";"5,000";"214,28"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"4,000";"206,19"
"FITZGERALD BOMBAY";"DRINKS";"7,000";"196,13"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"5,000";"192,50"
"GYOZA BOVINA";"FRUTAS";"6,000";"181,94"
"COCONUT SHRIMP";"FRUTAS";"4,000";"164,56"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"14,000";"151,54"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"8,000";"149,33"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"4,000";"148,54"
"GIN TONICA MORANGO";"DRINKS";"5,000";"142,45"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"2,000";"140,80"
"COMBINADO SUNSET";"COMBINADOS";"3,000";"131,40"
"MADAME";"DRINKS";"6,000";"131,34"
"FUJIYAMA  CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"130,69"
"SHIMEJI NO ALUMINIO";"FRUTAS";"2,000";"130,66"
"LITTLE BEE";"DRINKS";"4,000";"130,46"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"128,34"
"COCONUT SHRIMP IFOOD";"FRUTAS";"2,000";"120,25"
"TIGRADO";"ESPECIAIS ";"3,000";"118,38"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"12,000";"117,48"
"EBI RUBRA";"ESPECIAIS ";"3,000";"116,33"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"113,59"
"CAIPIROSKA  ABSOLUT";"DRINKS";"3,000";"112,20"
"STEAK  TARTUFO";"LA CARNE";"1,000";"106,70"
"SALADA SUNOMONO";"FRUTAS";"3,000";"101,96"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"4,000";"101,20"
"EBISHIN";"FRUTAS";"3,000";"100,98"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"1,000";"99,00"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"4,000";"97,14"
"GENGIBRADA SMIRNOFF";"DRINKS";"3,000";"87,67"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"GUNGA SHIMEJI";"ESPECIAIS ";"2,000";"82,63"
"DYO UDAMA TRUFADO 2UND";"TRUFADOS";"2,000";"81,40"
