"Produto";"Grupo";"Quantidade";"Valor"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"MIMO";"ESPECIAIS ";"1,000";"39,60"
"MISSOSHIRO";"FRUTAS";"2,000";"39,60"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"3,000";"39,14"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"LIMONCELLO SPRITZ";"DRINKS";"1,000";"38,18"
"GIN TONICA MORANGO";"DRINKS";"1,000";"38,15"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,02"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"2,000";"37,80"
"APEROL SPRITS";"DRINKS";"1,000";"36,19"
"VINHO TINTO TAÇA ";"TACAS";"1,000";"31,79"
"HOT SUCRILHOS";"HOT";"1,000";"29,13"
"VODKA ABSOLUT DOSE";"DESTILADOS";"1,000";"27,39"
"HOT FUJI CROCK";"HOT";"1,000";"26,20"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"1,000";"21,76"
"BOSSA BRAMBLE";"DRINKS";"1,000";"21,62"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,49"
"FANTA UVA LATA 350ML";"BEBIDAS GELADAS";"2,000";"19,39"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"3,000";"16,41"
"NIGUIRI SKIN CROCK";"NIGUIRI";"1,000";"14,92"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"1,000";"11,00"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,78"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,73"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"10,72"
"GENGIBRE EXTRA";"ENTRADAS SUSHI";"1,000";"3,01"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
