"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNRISE";"COMBINADOS";"7,000";"847,00"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"653,40"
"COMBINADO SUNSET";"COMBINADOS";"10,000";"424,73"
"COMBINADO PRIME";"COMBINADOS";"5,000";"404,36"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"363,00"
"GIN BOMBAY GF";"DESTILADOS";"1,000";"297,00"
"MANHANTTAN";"ESPECIAIS ";"5,000";"200,03"
"BOSSA BRAMBLE";"DRINKS";"6,000";"184,58"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"5,000";"182,00"
"FITZGERALD BOMBAY";"DRINKS";"7,000";"181,83"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"2,000";"173,80"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"171,60"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"159,90"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"159,50"
"LULA RECHEADA SHIMEJI";"FRUTAS";"2,000";"151,58"
"GYOZA BOVINA";"FRUTAS";"5,000";"149,05"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"8,000";"148,72"
"CASA VALDUGA NATURALLE TINTO";"TINTOS";"1,000";"143,00"
"CASA VALDUGA NATURELLE ROSE FRISANTE";"BRANCOS";"1,000";"143,00"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"143,00"
"EBISHIN";"FRUTAS";"4,000";"142,78"
"GENGIBRADA SMIRNOFF";"DRINKS";"6,000";"142,34"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"1,000";"137,50"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"130,00"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"128,70"
"VINHO BRANCO TAÇA";"TACAS";"4,000";"127,16"
"HOT SUCRILHOS";"HOT";"4,000";"111,04"
"RETIRAR";"ENTRADAS SUSHI";"2,000";"110,88"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"4,000";"109,56"
"RED BULL MELANCIA";"BEBIDAS GELADAS";"5,000";"109,45"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"10,000";"108,90"
"MADAME";"DRINKS";"4,000";"101,86"
"HOT SALMAO C/CREAM CHEESE";"HOT";"4,000";"97,53"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"ROCK CHICKEN";"FRUTAS";"3,000";"92,18"
"MOSCOW MULE SMIRNOFF";"DRINKS";"4,000";"87,56"
"FILE  GORGONZOLA";"COZINHA FUJI";"1,000";"86,90"
"ROCK CHICKEN IFOOD";"FRUTAS";"2,000";"86,89"
"MELANCITA";"DRINKS";"2,000";"85,58"
"SASHIMI ATUM";"SASHIMI";"2,000";"85,58"
