"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSHINE";"COMBINADOS";"8,000";"1396,47"
"COMBINADO ESPECIAL";"COMBINADOS";"5,000";"1065,76"
"COMBINADO PRIME";"COMBINADOS";"10,000";"844,66"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"8,000";"689,51"
"FITZGERALD BOMBAY";"DRINKS";"24,000";"623,44"
"USSUZUKURI TRUFADO";"TRUFADOS";"8,000";"613,32"
"COMBINADO SUNSET";"COMBINADOS";"14,000";"605,02"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"42,000";"589,20"
"SASHIMI SALMAO";"SASHIMI";"11,000";"467,01"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"12,000";"460,50"
"MANHANTTAN";"ESPECIAIS ";"10,000";"414,44"
"COMBINADO SUNRISE";"COMBINADOS";"3,000";"363,00"
"HOT SALMAO C/CREAM CHEESE";"HOT";"15,000";"359,88"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"11,000";"322,69"
"MORANDE VISIONARIO CHARDONNAY ";"BRANCOS";"3,000";"311,59"
"MOSCOW MULE SMIRNOFF";"DRINKS";"11,000";"293,68"
"GYOZA BOVINA";"FRUTAS";"10,000";"274,06"
"COMBINADO MIX";"COMBINADOS";"1,000";"262,38"
"VINHO BRANCO TAÇA";"TACAS";"9,000";"246,51"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"3,000";"244,59"
"SALMON  BALL";"FRUTAS";"8,000";"236,51"
"ESPORÃO PE BRANCO ";"BRANCOS";"2,000";"217,80"
"NEGRONI";"DRINKS";"6,000";"217,14"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"5,000";"213,91"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"3,000";"204,25"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"3,000";"196,74"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"20,000";"183,17"
"CARAJILLO 43";"CAFES";"5,000";"180,10"
"EBISHIN";"FRUTAS";"6,000";"176,57"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"18,000";"175,14"
"ROCK CHICKEN";"FRUTAS";"5,000";"173,84"
"GUNGA SHIMEJI";"ESPECIAIS ";"4,000";"172,07"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"170,89"
"VINHO TINTO TAÇA ";"TACAS";"6,000";"170,68"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"6,000";"169,16"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"17,000";"166,13"
