"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"18,000";"1135,17"
"COMBINADO ESPECIAL";"COMBINADOS";"4,000";"798,75"
"COMBINADO SUNSET";"COMBINADOS";"14,000";"566,78"
"COMBINADO SUNRISE";"COMBINADOS";"4,000";"472,38"
"JP AZEITAO TINTO";"TINTOS";"3,000";"363,00"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"351,49"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"11,000";"330,58"
"SASHIMI SALMAO";"SASHIMI";"7,000";"288,74"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"18,000";"274,82"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"24,000";"270,05"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"3,000";"260,37"
"FITZGERALD BOMBAY";"DRINKS";"9,000";"254,21"
"COMBINADO MIX";"COMBINADOS";"1,000";"240,99"
"COCONUT SHRIMP";"FRUTAS";"7,000";"230,96"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"28,000";"220,53"
"CERVEJA HEINEKEN";"CERVEJAS";"15,000";"211,94"
"HOT SALMAO C/CREAM CHEESE";"HOT";"8,000";"187,43"
"MORANDE SELEC. GRAN RESERVA GEW.";"BRANCOS";"1,000";"176,00"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"159,50"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"16,000";"156,40"
"LICOR 43";"DESTILADOS";"6,000";"151,14"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"5,000";"141,03"
"MOSCOW MULE SMIRNOFF";"DRINKS";"6,000";"131,34"
"GYOZA BOVINA";"FRUTAS";"5,000";"125,73"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"13,000";"120,53"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"114,94"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"5,000";"108,88"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"4,000";"108,83"
"NEGRONI";"DRINKS";"3,000";"108,57"
"HOT FUJI CROCK";"HOT";"4,000";"105,79"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"1,000";"99,00"
"COSECHA TARAPACA CHARDONNAY ";"BRANCOS";"1,000";"99,00"
"GIN TONICA MACA VERDE";"DRINKS";"3,000";"98,67"
"BLACK LABEL DOSE";"DESTILADOS";"4,000";"96,80"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"91,84"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"6,000";"90,77"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"1,000";"87,89"
"VINHO BRANCO TAÇA";"TACAS";"4,000";"87,56"
"STEAK AO POIVRE";"VERDURAS E LEGUMES";"1,000";"86,90"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"3,000";"86,13"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"MELANCITA";"DRINKS";"2,000";"85,58"
"MANHANTTAN";"ESPECIAIS ";"2,000";"83,60"
"MOSCOW MULE BOMBAY";"DRINKS";"2,000";"81,18"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"79,96"
"URAMAKI EBITEN";"ESPECIAIS ";"2,000";"79,73"
"GIN TONICA ORIGINAL";"DRINKS";"2,000";"76,78"
"TEMAKI CAMARÃO C/ SHIMEJI";"TEMAKI";"2,000";"76,29"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"2,000";"75,80"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"74,15"
"EBISHIN";"FRUTAS";"2,000";"71,39"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,01"
"YPIOCA 150 DOSE";"DESTILADOS";"3,000";"65,67"
"ROCK CHICKEN IFOOD";"FRUTAS";"1,000";"62,89"
"SASHIMI SHAKE UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"62,22"
"ASIAN TUNA";"FRUTAS";"1,000";"61,13"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"4,000";"58,33"
"MADAME";"DRINKS";"2,000";"58,08"
"SASHIMI VIEIRAS TRUFADAS 5UND";"TRUFADOS";"1,000";"56,20"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"55,35"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,41"
"RETIRAR";"ENTRADAS SUSHI";"1,000";"52,23"
"COCA COLA LATA";"BEBIDAS GELADAS";"9,000";"51,21"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"2,000";"50,38"
"SALADA SUNOMONO";"FRUTAS";"2,000";"43,81"
"CRISPY RICE";"ESPECIAIS ";"1,000";"41,58"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"2,000";"41,47"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"40,14"
"SASHIMI POLVO";"SASHIMI";"1,000";"39,04"
"SODA ITALIANA";"BEBIDAS GELADAS";"2,000";"39,02"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"1,000";"38,87"
"EBI RUBRA";"ESPECIAIS ";"1,000";"38,15"
"TIGRADO";"ESPECIAIS ";"1,000";"38,15"
"LOVE WASABI";"DRINKS";"1,000";"36,19"
"CERVEJA CORONA EXTRA";"CERVEJAS";"2,000";"34,98"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"33,71"
"CAIPIROSKA SMIRNOFF";"DRINKS";"1,000";"32,89"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"4,000";"32,72"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"3,000";"32,70"
"GYOZA IFOOD";"FRUTAS";"1,000";"30,02"
"VINHO TINTO TAÇA ";"TACAS";"1,000";"21,89"
"SALMON  BALL";"FRUTAS";"1,000";"21,89"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"1,000";"21,89"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"2,000";"21,59"
"GIN TONICA NACIONAL";"DRINKS";"2,000";"21,00"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,68"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"19,91"
"CAMPARI TÔNICA";"DRINKS";"1,000";"19,32"
"NIGUIRI SALMAO";"NIGUIRI";"1,000";"18,97"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"1,000";"16,96"
"CAMPARI";"DESTILADOS";"1,000";"16,50"
"AGUA DE COCO JARRA";"SUCOS E AGUA DE COCO";"1,000";"16,39"
"CERVEJA SPATEN";"CERVEJAS";"1,000";"15,29"
"NIGUIRI SKIN CROCK";"NIGUIRI";"1,000";"14,95"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"10,90"
"AGUA TONICA LATA";"BEBIDAS GELADAS";"1,000";"10,80"
"RED BULL MELANCIA";"BEBIDAS GELADAS";"1,000";"9,54"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"5,59"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,50"
"WASABI EXTRA";"ENTRADAS SUSHI";"1,000";"4,00"
"GENGIBRE EXTRA";"ENTRADAS SUSHI";"1,000";"3,02"
"ROCK CHICKEN";"FRUTAS";"2,000";"0,92"
"FREIXENET CARTA NEVADA ";"BORBULHAS";"1,000";"0,01"
"Y FRANGO";"VERDURAS E LEGUMES";"1,000";"0,01"
"TEMAKI TRADICIONAL";"TEMAKI";"3,000";"0,00"
"CERVEJAS";"CERVEJAS";"2,000";"0,00"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"1,000";"0,00"
