"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"634,40"
"COMBINADO SUNSHINE";"COMBINADOS";"3,000";"528,79"
"COMBINADO MIX";"COMBINADOS";"2,000";"528,00"
"COMBINADO PRIME";"COMBINADOS";"6,000";"501,16"
"YCAMARAO";"VERDURAS E LEGUMES";"4,000";"303,60"
"HOT SALMAO C/CREAM CHEESE";"HOT";"11,000";"273,97"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"6,000";"257,40"
"ROCK CHICKEN";"FRUTAS";"8,000";"251,35"
"COMBINADO SUNSET";"COMBINADOS";"6,000";"242,83"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"20,000";"217,80"
"BOSSA BRAMBLE";"DRINKS";"6,000";"197,89"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"5,000";"191,65"
"CARBONARA ";"PASTE";"3,000";"191,40"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"173,80"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"2,000";"169,45"
"EBI RUBRA";"ESPECIAIS ";"4,000";"161,64"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"3,000";"158,07"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"143,00"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"5,000";"135,45"
"SALMON SANDWICH";"ESPECIAIS ";"3,000";"132,43"
"SASHIMI SALMAO";"SASHIMI";"3,000";"124,69"
"MOSCOW MULE BOMBAY";"DRINKS";"3,000";"121,77"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"3,000";"119,84"
"SODA ITALIANA";"BEBIDAS GELADAS";"6,000";"118,14"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"3,000";"115,17"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"6,000";"111,54"
"GYOZA BOVINA";"FRUTAS";"4,000";"108,46"
"ROCK SHIRIMP";"FRUTAS";"2,000";"105,60"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"5,000";"100,40"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"5,000";"97,59"
"PIRULITO DE SALMAO";"ESPECIAIS ";"2,000";"89,04"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"9,000";"88,11"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"1,000";"86,90"
"VINHO TINTO TAÇA ";"TACAS";"3,000";"85,47"
"SASHIMI POLVO";"SASHIMI";"2,000";"81,90"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"6,000";"78,54"
"MANHANTTAN";"ESPECIAIS ";"2,000";"78,04"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"77,70"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"76,78"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"74,80"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"73,39"
"FITZGERALD BOMBAY";"DRINKS";"2,000";"72,38"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"COCONUT SHRIMP";"FRUTAS";"2,000";"65,78"
"VINHO BRANCO TAÇA";"TACAS";"3,000";"65,67"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"3,000";"65,67"
"NIGUIRI SALMAO";"NIGUIRI";"3,000";"62,37"
"SASHIMI BARRIGA DE SALMAO TRUFADO 5UND";"TRUFADOS";"1,000";"61,60"
"CEVICHE FRUTOS DO MAR";"ENTRADAS SUSHI";"1,000";"60,39"
"DYO SHAKÊ IKURA 2UND";"SUSHI DESIGN";"1,000";"59,40"
"CERVEJA CORONA EXTRA";"CERVEJAS";"3,000";"52,47"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"1,000";"47,19"
"SALMON  BALL";"FRUTAS";"2,000";"43,78"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
