"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"6,000";"1301,79"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"8,000";"1175,50"
"COMBINADO PRIME";"COMBINADOS";"9,000";"359,89"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"5,000";"298,31"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"22,000";"246,17"
"COMBINADO SUNSET";"COMBINADOS";"5,000";"218,60"
"BLUE CHEESE BURGER";"FRUTAS";"6,000";"186,60"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"179,83"
"OLD PARR DOSE";"DESTILADOS";"7,000";"176,33"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"176,02"
"EMILIANA ADOBE CHARDONNAY ";"BRANCOS";"1,000";"176,00"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"4,000";"165,78"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"6,000";"158,80"
"RED LABEL DOSE";"DESTILADOS";"7,000";"145,53"
"MANHANTTAN";"ESPECIAIS ";"3,000";"114,92"
"PE TINTO";"TINTOS";"1,000";"108,90"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"18,000";"108,49"
"GYOZA BOVINA";"FRUTAS";"5,000";"105,17"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"1,000";"99,00"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"1,000";"97,09"
"SALMON SANDWICH";"ESPECIAIS ";"2,000";"88,34"
"FITZGERALD";"DRINKS";"4,000";"87,10"
"GIN TONICA TANGERINA";"DRINKS";"4,000";"86,88"
"SASHIMI SALMAO";"SASHIMI";"2,000";"85,58"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"10,000";"82,92"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"5,000";"81,95"
"SEQUENCIA JAPONESA INFANTIL";"COUVERT ARTISTICO";"1,000";"79,75"
"DESIREE";"DRINKS";"3,000";"79,73"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"76,89"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"76,50"
"SALMAO C/ SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"75,79"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"10,000";"75,66"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"75,35"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"71,39"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"69,85"
"COCONUT SHRIMP";"FRUTAS";"2,000";"65,54"
"BOSSA BRAMBLE";"DRINKS";"3,000";"65,16"
"NIGUIRI SALMAO";"NIGUIRI";"3,000";"62,37"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,32"
"EBISHIN";"FRUTAS";"2,000";"58,88"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"3,000";"58,82"
"HOT FUJI CROCK";"HOT";"2,000";"57,20"
"ROCK SHIRIMP";"FRUTAS";"2,000";"56,88"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"2,000";"56,46"
"ROCK CHICKEN";"FRUTAS";"3,000";"52,65"
"CERVEJA HEINEKEN";"CERVEJAS";"3,000";"51,02"
"SALMON  BALL";"FRUTAS";"2,000";"50,54"
"SASHIMI SHAKÊ TORÔ TRUFADO 2 UND";"TRUFADOS";"1,000";"48,16"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"48,06"
"RED BULL SUGAR FREE";"BEBIDAS GELADAS";"2,000";"43,78"
"LITTLE BEE";"DRINKS";"2,000";"43,46"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,14"
"SALADA SUNOMONO";"FRUTAS";"1,000";"39,60"
"EBI RUBRA";"ESPECIAIS ";"1,000";"38,12"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"4,000";"36,70"
"APEROL SPRITS";"DRINKS";"1,000";"36,19"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"35,00"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"34,99"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"2,000";"33,88"
"COCA COLA LATA";"BEBIDAS GELADAS";"5,000";"33,17"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"33,00"
"TEMAKI ATUM";"TEMAKI";"1,000";"32,21"
"CHICKEN BAO";"FRUTAS";"1,000";"29,68"
"VINHO BRANCO TAÇA";"TACAS";"1,000";"27,13"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"2,000";"26,01"
"EXTRA BATATA FRITA ";"FRUTAS";"5,000";"16,17"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"14,24"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"12,18"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"SPRITE ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"MOSCOW MULE SMIRNOFF";"DRINKS";"1,000";"7,75"
"SODA ITALIANA";"BEBIDAS GELADAS";"1,000";"7,29"
"MOLHO TERIYAKI EXTRA";"ENTRADAS SUSHI";"1,000";"3,58"
"MOLHO SHOYU EXTRA";"ENTRADAS SUSHI";"1,000";"2,68"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"0,01"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"SPAGHETTI DE CAMARÃO AO GORGONZOLA";"COZINHA FUJI";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"2,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"2,000";"0,00"
