"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSHINE";"COMBINADOS";"5,000";"907,50"
"COMBINADO MIX";"COMBINADOS";"2,000";"525,59"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"501,21"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"39,000";"446,57"
"COMBINADO PRIME";"COMBINADOS";"5,000";"345,29"
"FITZGERALD BOMBAY";"DRINKS";"10,000";"295,38"
"MANHANTTAN";"ESPECIAIS ";"6,000";"237,88"
"ROCK SHIRIMP";"FRUTAS";"4,000";"210,14"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"6,000";"206,57"
"MOSCOW MULE SMIRNOFF";"DRINKS";"9,000";"194,97"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"173,80"
"COMBINADO SUNSET";"COMBINADOS";"4,000";"170,24"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"20,000";"168,77"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"2,000";"151,11"
"ROCK CHICKEN";"FRUTAS";"7,000";"141,87"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"19,000";"136,44"
"EBISHIN";"FRUTAS";"4,000";"129,68"
"Y FRANGO";"VERDURAS E LEGUMES";"3,000";"128,50"
"SASHIMI SALMAO";"SASHIMI";"3,000";"127,39"
"FILE TRINCHADO GORGONZOLA";"VERDURAS E LEGUMES";"2,000";"126,95"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"121,00"
"MORANDE VISIONARIO CARMENERE";"TINTOS";"1,000";"104,50"
"SALADA SUNOMONO";"FRUTAS";"3,000";"98,67"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"4,000";"91,43"
"SEX ON THE BEACH";"DRINKS";"3,000";"88,58"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"84,17"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"3,000";"75,94"
"C MIX";"TRUFADOS";"1,000";"74,36"
"HOT SALMAO C/CREAM CHEESE";"HOT";"3,000";"73,43"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"Y FILE";"VERDURAS E LEGUMES";"1,000";"69,34"
"CEVICHE FRUTOS DO MAR";"ENTRADAS SUSHI";"1,000";"60,02"
"GYOZA BOVINA";"FRUTAS";"3,000";"59,70"
"COCA COLA LATA";"BEBIDAS GELADAS";"9,000";"58,82"
"RETIRAR";"ENTRADAS SUSHI";"1,000";"58,19"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"54,37"
"BATERA SHAKE TORO";"ESPECIAIS ";"2,000";"52,33"
"CERVEJA HEINEKEN";"CERVEJAS";"3,000";"47,48"
"NIGUIRI SHAKÊ TORÔ TRUFADO • 2UND.";"TRUFADOS";"1,000";"46,20"
"VINHO TINTO TAÇA ";"TACAS";"10,000";"43,35"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"EBI RUBRA";"ESPECIAIS ";"1,000";"41,38"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"2,000";"39,59"
"FUJI FUSION";"DRINKS";"1,000";"38,39"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"38,39"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"1,000";"38,15"
"LOVE LYCHEE";"DRINKS";"1,000";"38,05"
"COSMOPOLITAN";"DRINKS";"1,000";"35,97"
"CARAJILLO 43";"CAFES";"1,000";"35,87"
"FUJI BRAMBLE";"DRINKS";"1,000";"35,86"
"BOSSA BRAMBLE";"DRINKS";"5,000";"35,42"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"4,000";"35,01"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"2,000";"34,01"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"33,50"
"COCONUT SHRIMP";"FRUTAS";"2,000";"32,77"
"VINHO BRANCO TAÇA";"TACAS";"5,000";"32,01"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"2,000";"30,27"
"GYOZA IFOOD";"FRUTAS";"1,000";"30,08"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"3,000";"29,37"
"HOT FUJI CROCK";"HOT";"1,000";"28,17"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"3,000";"27,20"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"2,000";"26,05"
"OLD PARR DOSE";"DESTILADOS";"1,000";"25,19"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,15"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"1,000";"25,04"
