"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSET";"COMBINADOS";"13,000";"582,62"
"COMBINADO PRIME";"COMBINADOS";"4,000";"367,29"
"COMBINADO SUNRISE";"COMBINADOS";"3,000";"363,00"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"344,30"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"7,000";"304,83"
"VINHO VERDE CASAL MENDES";"BRANCOS";"2,000";"275,00"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"3,000";"263,67"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"21,000";"228,69"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"5,000";"214,50"
"ROCK SHIRIMP";"FRUTAS";"4,000";"211,20"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"5,000";"206,70"
"SASHIMI SALMAO";"SASHIMI";"5,000";"200,56"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"198,36"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"5,000";"192,50"
"EBISHIN";"FRUTAS";"6,000";"189,75"
"FITZGERALD BOMBAY";"DRINKS";"7,000";"181,83"
"HOT SALMAO C/CREAM CHEESE";"HOT";"8,000";"181,45"
"FILE  GORGONZOLA";"COZINHA FUJI";"2,000";"173,80"
"MANHANTTAN";"ESPECIAIS ";"4,000";"165,83"
"RETIRAR";"ENTRADAS SUSHI";"3,000";"163,57"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"7,000";"139,67"
"VINHO TINTO TAÇA ";"TACAS";"5,000";"139,15"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"5,000";"136,95"
"ROCK CHICKEN";"FRUTAS";"4,000";"133,98"
"COCONUT SHRIMP";"FRUTAS";"4,000";"131,56"
"SALMON  BALL";"FRUTAS";"5,000";"122,65"
"JP AZEITAO TINTO";"TINTOS";"1,000";"121,00"
"EBI RUBRA";"ESPECIAIS ";"3,000";"119,34"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"115,50"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"6,000";"109,85"
"CEVICHE FRUTOS DO MAR";"ENTRADAS SUSHI";"2,000";"109,48"
"VINHO BRANCO TAÇA";"TACAS";"5,000";"109,45"
"COSMOPOLITAN";"DRINKS";"3,000";"108,57"
"GYOZA BOVINA";"FRUTAS";"4,000";"108,46"
"MOSCOW MULE SMIRNOFF";"DRINKS";"4,000";"101,86"
"BATERA SHAKE TORO";"ESPECIAIS ";"2,000";"99,15"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"10,000";"97,90"
"TEMAKI ATUM";"TEMAKI";"3,000";"90,00"
"CERVEJA HEINEKEN";"CERVEJAS";"6,000";"89,10"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"9,000";"88,11"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"83,60"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"1,000";"82,73"
"MADAME";"DRINKS";"3,000";"79,97"
"GENGIBRADA BOMBAY";"DRINKS";"2,000";"76,78"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"75,94"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"1,000";"75,90"
"PENNE DE FILE AO GORGONZOLA";"COZINHA FUJI";"1,000";"74,80"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"4,000";"74,79"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"66,00"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"66,00"
"GIN TONICA TANGERINA";"DRINKS";"3,000";"65,67"
"LITTLE BEE";"DRINKS";"3,000";"65,67"
"Y FRANGO";"VERDURAS E LEGUMES";"1,000";"64,90"
"FILE TRINCHADO GORGONZOLA";"VERDURAS E LEGUMES";"1,000";"63,80"
"CARBONARA ";"PASTE";"1,000";"63,80"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"3,000";"62,37"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,60"
"SODA ITALIANA";"BEBIDAS GELADAS";"3,000";"59,07"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"3,000";"58,08"
"BOSSA BRAMBLE";"DRINKS";"2,000";"57,09"
"SASHIMI VIEIRAS TRUFADAS 5UND";"TRUFADOS";"1,000";"56,10"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"54,78"
"HOT FUJI CROCK";"HOT";"2,000";"53,17"
"CAIPIRINHA YPIOCA";"DRINKS";"3,000";"52,80"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,69"
"EBI IKURA";"ESPECIAIS ";"1,000";"51,06"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"2,000";"50,60"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"2,000";"48,51"
"GENGIBRADA SMIRNOFF";"DRINKS";"2,000";"43,78"
"GIN TONICA MACA VERDE";"DRINKS";"2,000";"43,78"
"SASHIMI ATUM";"SASHIMI";"1,000";"42,79"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"42,08"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"40,43"
"LIMONCELLO SPRITZ";"DRINKS";"1,000";"38,39"
"SILVER CROCK";"ESPECIAIS ";"1,000";"38,07"
"SASHIMI CAMARAO";"SASHIMI";"1,000";"36,97"
"APPLE COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"NIGUIRI SALMAO";"NIGUIRI";"2,000";"35,78"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"1,000";"33,00"
"SALADA SUNOMONO";"FRUTAS";"1,000";"32,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"COINTREAU";"DESTILADOS";"1,000";"27,39"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"25,19"
"GIN TONICA MORANGO";"DRINKS";"1,000";"21,89"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"1,000";"21,89"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"19,91"
"MISSOSHIRO";"FRUTAS";"1,000";"19,80"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"1,000";"12,65"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"11,90"
"SPRITE FRESH LIMAO";"BEBIDAS GELADAS";"1,000";"11,00"
"SPRITE LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"FANTA LARANJA LATA 350ML";"BEBIDAS GELADAS";"1,000";"9,79"
"ROLINHO PRIMAVERA - UN";"FRUTAS";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"2,000";"0,00"
