"Produto";"Grupo";"Quantidade";"Valor"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"12,000";"1914,00"
"COMBINADO ESPECIAL";"COMBINADOS";"4,000";"841,94"
"COMBINADO PRIME";"COMBINADOS";"8,000";"725,45"
"USSUZUKURI TRUFADO";"TRUFADOS";"5,000";"353,91"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"4,000";"280,50"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"3,000";"277,80"
"COMBINADO MIX";"COMBINADOS";"1,000";"249,99"
"COMBINADO SUNSET";"COMBINADOS";"5,000";"243,70"
"COMBINADO SUNSHINE";"COMBINADOS";"1,000";"179,53"
"SHIMEJI NO ALUMINIO";"FRUTAS";"2,000";"149,60"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"3,000";"143,01"
"MOSCOW MULE SMIRNOFF";"DRINKS";"5,000";"142,45"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"132,00"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"10,000";"108,90"
"FITZGERALD";"DRINKS";"3,000";"98,67"
"PIRULITO DE SALMAO";"ESPECIAIS ";"2,000";"89,77"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"88,26"
"COSMOPOLITAN";"DRINKS";"4,000";"87,56"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"85,80"
"HOT SUCRILHOS";"HOT";"3,000";"84,31"
"EBI RUBRA";"ESPECIAIS ";"2,000";"83,81"
"MANHANTTAN";"ESPECIAIS ";"2,000";"78,97"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"4,000";"78,76"
"BLUE CHEESE BURGER";"FRUTAS";"4,000";"76,78"
"SILVER CROCK";"ESPECIAIS ";"2,000";"73,93"
"EBISHIN";"FRUTAS";"2,000";"63,58"
"FUJIYAMA CAMARAO C/ SHIMEJI";"TEMAKI";"1,000";"59,99"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"52,80"
"HOT FUJI CROCK";"HOT";"2,000";"50,59"
"TEMAKI HARU SALMAO SHIMEJI";"TEMAKI";"1,000";"48,99"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"3,000";"48,53"
"ROCK CHICKEN IFOOD";"FRUTAS";"1,000";"45,13"
"URAMAKI EBITEN ESPECIAL";"ESPECIAIS ";"1,000";"44,00"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SALMAO";"SASHIMI";"1,000";"42,79"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"1,000";"42,79"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"MIMO";"ESPECIAIS ";"1,000";"39,60"
"SODA ITALIANA";"BEBIDAS GELADAS";"2,000";"39,38"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"6,000";"39,17"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"4,000";"39,16"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"38,92"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"AZEDINHO VODKA";"DRINKS";"1,000";"37,40"
"COCONUT SHRIMP";"FRUTAS";"1,000";"32,89"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"26,11"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"1,000";"21,89"
"BOSSA BRAMBLE";"DRINKS";"1,000";"21,89"
"LITTLE BEE";"DRINKS";"1,000";"21,89"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"2,000";"21,83"
"LOVE WASABI";"DRINKS";"1,000";"20,79"
"CHICKEN BAO";"FRUTAS";"1,000";"20,07"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"19,97"
"CAIPIRINHA YPIOCA";"DRINKS";"1,000";"15,29"
"SUMO DE LIMAO";"SUCOS E AGUA DE COCO";"4,000";"13,20"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"2,000";"13,09"
"SPRITE LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"EXTRA BATATA FRITA ";"FRUTAS";"3,000";"10,78"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"1,000";"5,50"
"WASABI EXTRA";"ENTRADAS SUSHI";"1,000";"4,18"
"GENGIBRE EXTRA";"ENTRADAS SUSHI";"1,000";"3,13"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"0,01"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"TEMAKIS SALMÃO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"1,000";"0,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"0,00"
