"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"21,000";"1672,47"
"COMBINADO SUNSHINE";"COMBINADOS";"8,000";"1445,02"
"COMBINADO MIX";"COMBINADOS";"4,000";"999,39"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"29,000";"852,02"
"COMBINADO ESPECIAL";"COMBINADOS";"4,000";"848,88"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"59,000";"826,88"
"COMBINADO SUNSET";"COMBINADOS";"17,000";"756,19"
"BOSSA BRAMBLE";"DRINKS";"26,000";"701,23"
"MOSCOW MULE SMIRNOFF";"DRINKS";"23,000";"629,85"
"HOT SALMAO C/CREAM CHEESE";"HOT";"22,000";"550,36"
"MADAME";"DRINKS";"22,000";"523,19"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"6,000";"518,63"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"11,000";"467,11"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"11,000";"465,47"
"ROCK CHICKEN";"FRUTAS";"18,000";"465,14"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"40,000";"434,24"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"4,000";"389,76"
"MELANCITA";"DRINKS";"9,000";"384,76"
"GYOZA BOVINA";"FRUTAS";"14,000";"380,77"
"CATENA MALBEC ";"TINTOS";"1,000";"349,39"
"COCONUT SHRIMP";"FRUTAS";"9,000";"327,71"
"FITZGERALD BOMBAY";"DRINKS";"13,000";"326,36"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"7,000";"297,60"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"30,000";"292,85"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"2,000";"286,00"
"GENGIBRADA SMIRNOFF";"DRINKS";"12,000";"284,07"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"10,000";"278,84"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"3,000";"273,19"
"COSMOPOLITAN";"DRINKS";"7,000";"252,53"
"SALMON  BALL";"FRUTAS";"10,000";"239,27"
"ROCK SHIRIMP";"FRUTAS";"4,000";"209,17"
"GIN TONICA MACA VERDE";"DRINKS";"8,000";"207,29"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"11,000";"204,39"
