"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO MIX";"COMBINADOS";"5,000";"1283,19"
"COMBINADO PRIME";"COMBINADOS";"14,000";"1205,19"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"76,000";"1064,92"
"MOSCOW MULE SMIRNOFF";"DRINKS";"36,000";"997,43"
"COMBINADO SUNSET";"COMBINADOS";"17,000";"733,76"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"653,40"
"COMBINADO SUNSHINE";"COMBINADOS";"3,000";"541,27"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"6,000";"520,74"
"USSUZUKURI TRUFADO";"TRUFADOS";"6,000";"519,78"
"MANHANTTAN";"ESPECIAIS ";"12,000";"480,38"
"COMBINADO SUNRISE";"COMBINADOS";"5,000";"475,06"
"GYOZA BOVINA";"FRUTAS";"16,000";"438,06"
"FITZGERALD BOMBAY";"DRINKS";"18,000";"434,93"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"10,000";"427,00"
"ROCK CHICKEN";"FRUTAS";"13,000";"356,64"
"HOT SALMAO C/CREAM CHEESE";"HOT";"16,000";"319,22"
"CARBONARA ";"PASTE";"5,000";"318,37"
"MADAME";"DRINKS";"12,000";"299,39"
"SASHIMI SALMAO";"SASHIMI";"7,000";"295,21"
"ROCK SHIRIMP";"FRUTAS";"5,000";"275,79"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"7,000";"266,05"
"EBISHIN";"FRUTAS";"8,000";"248,24"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"25,000";"243,79"
"COCONUT SHRIMP";"FRUTAS";"6,000";"229,11"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"22,000";"225,90"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"7,000";"218,78"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"5,000";"212,71"
"LICOR 43";"DESTILADOS";"8,000";"201,52"
"VINHO BRANCO TAÇA";"TACAS";"9,000";"195,99"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"5,000";"192,04"
"SODA ITALIANA";"BEBIDAS GELADAS";"9,000";"176,32"
"LITTLE BEE";"DRINKS";"8,000";"174,85"
"FILE  GORGONZOLA";"COZINHA FUJI";"2,000";"173,80"
"MELANCITA";"DRINKS";"4,000";"170,35"
