"Produto";"Grupo";"Quantidade";"Valor"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"54,000";"756,84"
"MOSCOW MULE SMIRNOFF";"DRINKS";"25,000";"727,36"
"COMBINADO ESPECIAL";"COMBINADOS";"3,000";"604,07"
"COMBINADO PRIME";"COMBINADOS";"7,000";"575,89"
"COMBINADO SUNSHINE";"COMBINADOS";"3,000";"540,81"
"COMBINADO MIX";"COMBINADOS";"2,000";"526,55"
"COMBINADO SUNSET";"COMBINADOS";"10,000";"456,15"
"FITZGERALD BOMBAY";"DRINKS";"15,000";"397,56"
"OLD PARR GARRAFA";"DESTILADOS";"1,000";"352,00"
"USSUZUKURI TRUFADO";"TRUFADOS";"4,000";"345,77"
"GENGIBRADA SMIRNOFF";"DRINKS";"11,000";"339,23"
"SASHIMI SALMAO";"SASHIMI";"8,000";"320,43"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"3,000";"295,08"
"COMBINADO SUNRISE";"COMBINADOS";"3,000";"282,56"
"MADAME";"DRINKS";"23,000";"281,38"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"8,000";"275,27"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"3,000";"250,31"
"HOT FUJI CROCK";"HOT";"8,000";"228,54"
"PENNE DE FILE AO GORGONZOLA";"COZINHA FUJI";"3,000";"223,43"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"5,000";"214,50"
"MANHANTTAN";"ESPECIAIS ";"5,000";"205,03"
"ROCK CHICKEN";"FRUTAS";"6,000";"199,41"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"2,000";"195,58"
"BOSSA BRAMBLE";"DRINKS";"7,000";"192,55"
"CERVEJA CORONA EXTRA";"CERVEJAS";"11,000";"192,39"
"MELANCITA";"DRINKS";"4,000";"168,74"
"LIMONCELLO SPRITZ";"DRINKS";"4,000";"153,16"
"LITTLE BEE";"DRINKS";"7,000";"151,94"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"7,000";"139,33"
"ARTE DE ARGENTO PINOT GRIGIO";"BRANCOS";"1,000";"131,28"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"127,87"
"TROPICAL GIN";"DRINKS";"3,000";"126,82"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"14,000";"126,80"
"FILE TRINCHADO GORGONZOLA";"VERDURAS E LEGUMES";"2,000";"126,77"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"3,000";"124,59"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"123,14"
"CAIPIRINHA YPIOCA";"DRINKS";"7,000";"123,02"
"GIN TONICA TANGERINA";"DRINKS";"4,000";"119,73"
"MIMO";"ESPECIAIS ";"3,000";"117,97"
"GENGIBRADA GIN TRADICONAL";"DRINKS";"4,000";"116,16"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"12,000";"116,10"
