"Produto";"Grupo";"Quantidade";"Valor"
"OPEN WINE";"VINHOS E ESPUMANTES";"9,000";"692,01"
"COMBINADO PRIME";"COMBINADOS";"8,000";"615,12"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"363,00"
"COMBINADO SUNSET";"COMBINADOS";"7,000";"314,45"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"2,000";"304,50"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"5,000";"161,16"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"2,000";"141,89"
"MOSCOW MULE SMIRNOFF";"DRINKS";"5,000";"138,05"
"COCONUT SHRIMP";"FRUTAS";"4,000";"131,56"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"3,000";"121,18"
"EBISHIN";"FRUTAS";"4,000";"118,36"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"110,00"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"5,000";"109,45"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"9,000";"98,01"
"ROCK CHICKEN";"FRUTAS";"4,000";"96,18"
"HOT SALMAO C/CREAM CHEESE";"HOT";"4,000";"93,95"
"GENGIBRADA SMIRNOFF";"DRINKS";"3,000";"87,67"
"MADAME";"DRINKS";"4,000";"87,56"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"4,000";"87,56"
"LITTLE BEE";"DRINKS";"4,000";"81,59"
"GYOZA BOVINA";"FRUTAS";"3,000";"80,98"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"4,000";"80,38"
"FITZGERALD BOMBAY";"DRINKS";"3,000";"79,97"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"3,000";"75,57"
"NEGRONI";"DRINKS";"2,000";"72,38"
"FUJIYAMA  CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"71,50"
"SALMON  BALL";"FRUTAS";"2,000";"64,68"
"HOT SUCRILHOS";"HOT";"2,000";"63,58"
"SASHIMI BARRIGA DE SALMAO TRUFADO 5UND";"TRUFADOS";"1,000";"61,60"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"3,000";"55,24"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"1,000";"52,69"
"CERVEJA HEINEKEN";"CERVEJAS";"3,000";"49,17"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"5,000";"48,95"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"5,000";"48,95"
"BATERA SHAKE TORO";"ESPECIAIS ";"1,000";"48,55"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"1,000";"45,70"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"43,78"
"SASHIMI POLVO";"SASHIMI";"1,000";"42,79"
"MELANCITA";"DRINKS";"1,000";"42,79"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"41,80"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"BOSSA BRAMBLE";"DRINKS";"2,000";"41,79"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"4,000";"40,86"
"SASHIMI SALMAO";"SASHIMI";"1,000";"40,36"
"URAMAKI EBITEN ESPECIAL";"ESPECIAIS ";"1,000";"40,00"
"CAIPIFUJI SMIRNOFF";"DRINKS";"1,000";"39,60"
"MISSOSHIRO";"FRUTAS";"2,000";"39,60"
"TEMAKI CAMARÃO C/ SHIMEJI";"TEMAKI";"1,000";"39,43"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"TEMAKI CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"1,000";"38,44"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"38,39"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"2,000";"37,18"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"2,000";"37,18"
"COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"1,000";"27,39"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"2,000";"26,18"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"CAIPIRINHA YPIOCA";"DRINKS";"1,000";"17,60"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"4,000";"10,89"
"COCA COLA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"3,000";"0,00"
