"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"12,000";"1002,32"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"435,60"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"2,000";"319,00"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"3,000";"260,37"
"MANHANTTAN";"ESPECIAIS ";"5,000";"184,09"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"6,000";"164,34"
"BATERA SHAKE TORO";"ESPECIAIS ";"3,000";"158,40"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"4,000";"158,33"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"151,80"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"1,000";"143,00"
"HOT SUCRILHOS";"HOT";"5,000";"139,97"
"COMBINADO SUNSET";"COMBINADOS";"3,000";"131,67"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"12,000";"130,68"
"SASHIMI SALMAO";"SASHIMI";"3,000";"128,37"
"FITZGERALD BOMBAY";"DRINKS";"5,000";"123,75"
"HOT SALMAO C/CREAM CHEESE";"HOT";"5,000";"121,98"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"3,000";"110,97"
"EBISHIN";"FRUTAS";"3,000";"100,98"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"1,000";"97,79"
"GYOZA IFOOD";"FRUTAS";"3,000";"86,00"
"GYOZA BOVINA";"FRUTAS";"3,000";"83,27"
"CERVEJA SPATEN";"CERVEJAS";"6,000";"75,90"
"MARGUERITA";"DRINKS";"2,000";"72,38"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"2,000";"72,30"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"1,000";"70,40"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"7,000";"68,53"
"COCONUT SHRIMP";"FRUTAS";"2,000";"65,78"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"3,000";"65,67"
"MADAME";"DRINKS";"3,000";"65,67"
"YAKISOBA ESPECIAL";"VERDURAS E LEGUMES";"1,000";"65,62"
"CARBONARA ";"PASTE";"1,000";"63,80"
"ASIAN TUNA";"FRUTAS";"1,000";"61,60"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,60"
"CERVEJA HEINEKEN";"CERVEJAS";"4,000";"59,40"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"6,000";"58,74"
"PIRULITO DE SALMAO";"ESPECIAIS ";"1,000";"52,80"
"SASHIMI VIEIRAS TRUFADAS 5UND";"TRUFADOS";"1,000";"52,56"
"ROCK CHICKEN";"FRUTAS";"2,000";"50,38"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"2,000";"47,08"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"2,000";"44,37"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"43,78"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SHAKE UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"42,79"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"42,17"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"2,000";"42,16"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"41,80"
"CAIPIFUJI SMIRNOFF";"DRINKS";"1,000";"39,60"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"38,50"
"TEMAKI SKIN C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"APPLE COSMOPOLITAN";"DRINKS";"1,000";"36,19"
"HOT FUJI CROCK";"HOT";"1,000";"26,11"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"GIN TONICA MACA VERDE";"DRINKS";"1,000";"21,89"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"21,37"
"MAKIMONO CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"20,79"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"CAFE NESPRESSO";"CAFES";"1,000";"10,89"
"MOLHO TERIYAKI EXTRA";"ENTRADAS SUSHI";"1,000";"3,71"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"3,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"2,000";"0,00"
"SUCO DE LARANJA";"SUCOS E AGUA DE COCO";"1,000";"0,00"
