"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"435,60"
"COMBINADO PRIME";"COMBINADOS";"5,000";"367,29"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"2,000";"286,00"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"8,000";"217,14"
"SASHIMI SALMAO";"SASHIMI";"5,000";"207,84"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"10,000";"199,38"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"1,000";"159,50"
"ROCK SHIRIMP";"FRUTAS";"3,000";"158,40"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"10,000";"152,90"
"MANHANTTAN";"ESPECIAIS ";"7,000";"152,11"
"VINHO BRANCO TAÇA";"TACAS";"5,000";"149,05"
"MOSCOW MULE SMIRNOFF";"DRINKS";"5,000";"109,45"
"HOT SALMAO C/CREAM CHEESE";"HOT";"4,000";"102,60"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"11,000";"97,91"
"GYOZA BOVINA";"FRUTAS";"3,000";"90,97"
"USSUZUKURI TRUFADO";"TRUFADOS";"1,000";"86,90"
"EBI RUBRA";"ESPECIAIS ";"2,000";"83,60"
"ROCK CHICKEN";"FRUTAS";"2,000";"83,60"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"2,000";"82,61"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"1,000";"81,27"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"2,000";"77,00"
"HOT FUJI CROCK";"HOT";"3,000";"75,48"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"8,000";"74,32"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"73,70"
"RETIRAR";"ENTRADAS SUSHI";"1,000";"67,74"
"VINHO TINTO TAÇA ";"TACAS";"2,000";"63,58"
"CAIPIRINHA YPIOCA";"DRINKS";"3,000";"52,80"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"4,000";"52,36"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"5,000";"48,95"
"SASHIMI SALMAO MACARICADO";"SASHIMI";"1,000";"47,19"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"COMBINADO SUNSET";"COMBINADOS";"2,000";"44,34"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"SASHIMI SHAKE UDAMA TRUFADO 2UND";"TRUFADOS";"1,000";"42,79"
"SASHIMI ATUM";"SASHIMI";"1,000";"42,79"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"SILVER CROCK";"ESPECIAIS ";"1,000";"41,80"
"FUJI BRAMBLE";"DRINKS";"1,000";"35,49"
"BOSSA BRAMBLE";"DRINKS";"1,000";"34,51"
"BATATA FRITA ";"FRUTAS";"1,000";"32,89"
"COCONUT SHRIMP";"FRUTAS";"1,000";"32,89"
"SALADA SUNOMONO";"FRUTAS";"1,000";"32,89"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"1,000";"32,58"
"GYOZA IFOOD";"FRUTAS";"1,000";"27,62"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"4,000";"27,40"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"1,000";"25,19"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"23,15"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"GIN TONICA MACA VERDE";"DRINKS";"1,000";"21,89"
"SODA ITALIANA";"BEBIDAS GELADAS";"1,000";"19,69"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"1,000";"18,59"
"NIGUIRI SALMAO";"NIGUIRI";"1,000";"17,84"
"CERVEJA HEINEKEN";"CERVEJAS";"1,000";"16,39"
"ROBATA DE BROCOLIS";"FRUTAS";"1,000";"16,39"
"COCA COLA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"MOLHO TERIYAKI EXTRA";"ENTRADAS SUSHI";"1,000";"4,13"
"MOLHO SHOYU EXTRA";"ENTRADAS SUSHI";"1,000";"3,09"
"CLERICOT";"DRINKS";"4,000";"0,02"
"YCAMARAO";"VERDURAS E LEGUMES";"1,000";"0,01"
"FREIXENET CARTA NEVADA ";"BORBULHAS";"1,000";"0,01"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"0,01"
"TIGRADO";"ESPECIAIS ";"1,000";"0,01"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"0,01"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"4,000";"0,00"
"REFRIGERANTES";"BEBIDAS GELADAS";"1,000";"0,00"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"COMBINADO SUNRISE";"COMBINADOS";"1,000";"0,00"
