"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"9,000";"731,83"
"COMBINADO ESPECIAL";"COMBINADOS";"2,000";"435,60"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"363,00"
"COMBINADO HAPPY";"COMBINADOS";"8,000";"354,43"
"COMBINADO MIX";"COMBINADOS";"1,000";"264,00"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"3,000";"259,47"
"GYOZA BOVINA";"FRUTAS";"8,000";"241,45"
"URAMAKI SHAKE CRUMBS";"ESPECIAIS ";"6,000";"237,60"
"PENNE DE FILE AO GORGONZOLA";"COZINHA FUJI";"3,000";"224,40"
"NIGUIRI VIEIRA TRUFADA • DUPLA";"TRUFADOS";"4,000";"206,36"
"CARBONARA ";"PASTE";"3,000";"186,68"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"3,000";"181,50"
"NIGUIRI UNAGUI • DUPLA";"SUSHI DESIGN";"4,000";"175,56"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"16,000";"159,23"
"BLUE CHEESE BURGER";"FRUTAS";"4,000";"153,56"
"SALMON  BALL";"FRUTAS";"6,000";"152,24"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"4,000";"146,72"
"CERVEJA HEINEKEN";"CERVEJAS";"8,000";"136,40"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"13,000";"127,27"
"URAMAKI EBITEN";"ESPECIAIS ";"3,000";"125,40"
"AZUMA KIRIN GUINJO DOSE";"DESTILADOS";"3,000";"121,77"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"121,02"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"13,000";"117,49"
"DYO DE SHAKÊ IKURA 2UND";"SUSHI DESIGN";"2,000";"109,78"
"STEAK  TARTUFO";"LA CARNE";"1,000";"106,70"
"NIGUIRI POLVO";"NIGUIRI";"5,000";"103,95"
"MOSCOW MULE SMIRNOFF";"DRINKS";"4,000";"101,86"
"DESIREE";"DRINKS";"4,000";"101,86"
"HARUMAKI DE QUEIJO - 2 UN";"FRUTAS";"4,000";"100,98"
"TEPPAN DE SALMAO";"VERDURAS E LEGUMES";"1,000";"94,60"
"FITZGERALD";"DRINKS";"3,000";"94,27"
"APPLE MARTINI";"DRINKS";"3,000";"94,27"
"JACK HONEY";"DESTILADOS";"4,000";"92,40"
"TEMAKI SALMAO C/ SHIMEJI";"TEMAKI";"2,000";"85,80"
"VINHO BRANCO TAÇA";"TACAS";"3,000";"82,17"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"2,000";"76,78"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"76,78"
"HOT SALMAO C/CREAM CHEESE";"HOT";"3,000";"75,90"
"PENNE DE SALMAO AO LIMONE";"PASTE";"1,000";"75,90"
"SALMAO C/ SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"75,79"
"NEGRONI";"DRINKS";"2,000";"72,38"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"1,000";"71,50"
"SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"71,39"
"TEMAKI ATUM";"TEMAKI";"2,000";"66,00"
"COCONUT SHRIMP";"FRUTAS";"2,000";"65,78"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"3,000";"65,67"
"KAWASAKI ";"URAMAKI";"1,000";"62,59"
"FILE  TRINCHADO ROTI";"COZINHA FUJI";"1,000";"61,60"
"HARUMAKI DE CAMARAO C/ CATUPIRY - 2 UN";"FRUTAS";"2,000";"61,60"
"CHICKEN BAO";"FRUTAS";"2,000";"59,29"
"EBISHIN";"FRUTAS";"2,000";"59,18"
"LITTLE BEE";"DRINKS";"2,000";"58,08"
"GYOZA IFOOD";"FRUTAS";"2,000";"50,96"
"OLD PARR DOSE";"DESTILADOS";"2,000";"50,38"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"2,000";"46,32"
"SALMON SANDWICH";"ESPECIAIS ";"1,000";"46,20"
"GUNGA SHIMEJI";"ESPECIAIS ";"1,000";"44,00"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,90"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"1,000";"42,79"
"EBI RUBRA";"ESPECIAIS ";"1,000";"41,80"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"1,000";"41,80"
"MANHANTTAN";"ESPECIAIS ";"1,000";"41,80"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"3,000";"39,27"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"GIN TONICA TANGERINA";"DRINKS";"1,000";"38,39"
"FUJI MULE";"DRINKS";"1,000";"38,39"
"MAKIMONO SALMAO & CAMARAO C/CREAM CHEESE";"MAKIMONO";"2,000";"36,70"
"CAIPIRINHA YPIOCA";"DRINKS";"2,000";"35,20"
"GUARANA ZERO LATA";"BEBIDAS GELADAS";"3,000";"32,67"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"31,98"
"AZUMA KIRIN DOURADO DSE";"DESTILADOS";"1,000";"30,80"
"HOT FUJI CROCK";"HOT";"1,000";"28,60"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"ROCK CHICKEN";"FRUTAS";"1,000";"25,19"
"HARUMAKI PRIMAVERA - 2 UN IFOOD";"FRUTAS";"1,000";"22,40"
"SCHWEPPES CITRUS";"BEBIDAS GELADAS";"2,000";"22,00"
"APEROL SPRITS";"DRINKS";"1,000";"21,89"
"GENGIBRADA THEROS";"DRINKS";"1,000";"21,89"
"GENGIBRADA SMIRNOFF";"DRINKS";"1,000";"21,89"
"MISSOSHIRO";"FRUTAS";"1,000";"19,80"
"SODA ITALIANA";"BEBIDAS GELADAS";"1,000";"19,69"
"NIGUIRI ATUM •  DUPLA";"NIGUIRI";"1,000";"18,59"
"NIGUIRI PEIXE BRANCO • DUPLA";"NIGUIRI";"1,000";"18,59"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"17,59"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"1,000";"17,59"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"2,000";"11,00"
"COCA COLA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"1,000";"10,89"
"EXTRA BATATA FRITA ";"FRUTAS";"2,000";"10,78"
"MOLHO TERIYAKI EXTRA";"ENTRADAS SUSHI";"1,000";"3,72"
"RED BULL TRADICIONAL";"BEBIDAS GELADAS";"1,000";"0,01"
"TEMAKI TRADICIONAL";"TEMAKI";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"3,000";"0,00"
"REFRIGERANTES";"BEBIDAS GELADAS";"2,000";"0,00"
"SEQUENCIA JAPONESA ADULTO";"COUVERT ARTISTICO";"2,000";"0,00"
