"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO SUNSHINE";"COMBINADOS";"7,000";"1231,20"
"MOSCOW MULE SMIRNOFF";"DRINKS";"27,000";"931,57"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"63,000";"883,11"
"COMBINADO ESPECIAL";"COMBINADOS";"4,000";"833,58"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"21,000";"801,13"
"COMBINADO PRIME";"COMBINADOS";"9,000";"710,02"
"GENGIBRADA BOMBAY";"DRINKS";"12,000";"459,81"
"FITZGERALD BOMBAY";"DRINKS";"13,000";"425,95"
"COMBINADO SUNSET";"COMBINADOS";"9,000";"379,50"
"ROCK SHIRIMP";"FRUTAS";"7,000";"368,12"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"10,000";"357,21"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"2,000";"318,48"
"ROCK CHICKEN";"FRUTAS";"11,000";"308,40"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"31,000";"302,23"
"GIN BOMBAY GF";"DESTILADOS";"1,000";"296,02"
"MANHANTTAN";"ESPECIAIS ";"7,000";"290,90"
"VINHO VERDE CASAL MENDES";"BRANCOS";"2,000";"273,27"
"USSUZUKURI TRUFADO";"TRUFADOS";"3,000";"259,48"
"NEGRONI";"DRINKS";"7,000";"252,63"
"COMBINADO SUNRISE";"COMBINADOS";"2,000";"240,50"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"6,000";"230,50"
"GENGIBRADA SMIRNOFF";"DRINKS";"8,000";"228,49"
"GYOZA BOVINA";"FRUTAS";"9,000";"223,69"
"SALMON  BALL";"FRUTAS";"8,000";"214,43"
"BRIE C/GELEIA DE PIMENTA";"ESPECIAIS ";"5,000";"204,50"
"PONTO NERO LIVE DREAM ZERO ALCOOL";"BORBULHAS";"2,000";"187,00"
"CERVEJA CORONA EXTRA";"CERVEJAS";"10,000";"174,90"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"9,000";"165,93"
"MADAME";"DRINKS";"6,000";"159,18"
"HOT CAMARAO C/CREAM CHEESE";"HOT";"6,000";"151,46"
"LULA RECHEADA SHIMEJI";"FRUTAS";"2,000";"150,08"
"HOT SALMAO C/CREAM CHEESE";"HOT";"6,000";"148,39"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"18,000";"146,40"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"15,000";"145,92"
"HOT FUJI CROCK";"HOT";"5,000";"142,63"
"FUJIYAMA SALMAO C/ SHIMEJI";"TEMAKI";"2,000";"138,55"
"SALMON SANDWICH";"ESPECIAIS ";"3,000";"138,19"
"NIGUIRI SALMAO";"NIGUIRI";"7,000";"135,75"
"SASHIMI SALMAO";"SASHIMI";"3,000";"128,10"
"TEMAKI HARU SALMAO SHIMEJI";"TEMAKI";"3,000";"126,83"
"OLD PARR DOSE";"DESTILADOS";"5,000";"125,95"
"CERVEJA SPATEN";"CERVEJAS";"8,000";"122,32"
"TEMAKI ATUM";"TEMAKI";"4,000";"120,00"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"7,000";"117,67"
"GOLD LABEL DOSE";"DESTILADOS";"3,000";"114,52"
"ESPORÃO PE BRANCO ";"BRANCOS";"1,000";"108,90"
"COSMOPOLITAN";"DRINKS";"3,000";"107,77"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"2,000";"104,72"
"SALADA SUNOMONO";"FRUTAS";"3,000";"98,19"
"COCONUT SHRIMP";"FRUTAS";"3,000";"97,84"
"COMBINADO PRIME IFOOD ";"COMBINADOS";"1,000";"88,55"
"CAIPIRINHA YPIOCA";"DRINKS";"5,000";"88,00"
"RED BULL TRADICIONAL";"BEBIDAS GELADAS";"4,000";"87,31"
"RED BULL TROPICAL";"BEBIDAS GELADAS";"4,000";"87,08"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"1,000";"86,90"
"FILE  GORGONZOLA";"COZINHA FUJI";"1,000";"86,62"
"GIN TONICA MACA VERDE";"DRINKS";"4,000";"86,05"
"TROPICAL GIN";"DRINKS";"2,000";"84,43"
"EBI RUBRA";"ESPECIAIS ";"2,000";"83,07"
"COCA COLA LATA";"BEBIDAS GELADAS";"12,000";"77,02"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"76,41"
"TORTA DE NUTELLA";"SOBREMESA FUJI";"3,000";"76,28"
"FETTUCCINE DE CAMARAO THAI";"COZINHA FUJI";"1,000";"74,80"
"FUJIYAMA  SALMÃO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"71,19"
